"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.533711624E1,-2.850242615E1,2.159753418E1,4.382706057E1
1.000000000E-2,2.746334076E1,-2.815010834E1,2.276437378E1,4.544095508E1
2.000000000E-2,2.564821625E1,-2.907743835E1,2.339978027E1,4.528662203E1
3.000000000E-2,2.610699463E1,-2.862029839E1,2.354049683E1,4.533047142E1
4.000000000E-2,2.683670044E1,-2.862496185E1,2.067163086E1,4.434989576E1
5.000000000E-2,2.776889038E1,-2.755085754E1,2.245574951E1,4.510456419E1
6.000000000E-2,2.533075714E1,-2.909732819E1,2.160055542E1,4.421409005E1
7.000000000E-2,2.611159897E1,-2.758477211E1,2.278350830E1,4.429247683E1
8.000000000E-2,2.595201492E1,-2.803756332E1,2.233718872E1,4.425564411E1
9.000000000E-2,2.593896484E1,-2.804866409E1,2.083374023E1,4.351553960E1
1.000000000E-1,2.593101501E1,-2.879228973E1,2.083749390E1,4.399562069E1
1.100000000E-1,2.579940033E1,-2.892653847E1,2.324621582E1,4.519668389E1
1.200000000E-1,2.428082275E1,-2.852542114E1,2.161477661E1,4.324877539E1
1.300000000E-1,2.609871292E1,-2.818522263E1,2.203479004E1,4.428410056E1
1.400000000E-1,2.457943726E1,-2.881630325E1,2.161135864E1,4.360709680E1
1.500000000E-1,2.654220581E1,-3.024641800E1,2.354135132E1,4.662112947E1
1.600000000E-1,2.459175110E1,-2.851108170E1,2.266229248E1,4.394559707E1
1.700000000E-1,2.534886169E1,-2.849243736E1,2.295065308E1,4.450973211E1
1.800000000E-1,2.672343445E1,-2.668039322E1,2.261883545E1,4.401814453E1
1.900000000E-1,2.684526443E1,-2.891242218E1,2.202624512E1,4.518574834E1
2.000000000E-1,2.592584229E1,-3.012304306E1,2.189666748E1,4.537632718E1
2.100000000E-1,2.668829346E1,-2.936299324E1,2.188061523E1,4.531237913E1
2.200000000E-1,2.730811691E1,-2.904130363E1,2.337271118E1,4.621054202E1
2.300000000E-1,2.715358734E1,-2.890030289E1,2.277304077E1,4.572916136E1
2.400000000E-1,2.579088593E1,-2.996539307E1,2.355215454E1,4.601954543E1
2.500000000E-1,2.669465256E1,-2.876809311E1,2.187762451E1,4.493148240E1
2.600000000E-1,2.685178757E1,-2.890687180E1,2.277798462E1,4.555724219E1
2.700000000E-1,2.565474319E1,-2.907188797E1,2.415151978E1,4.567971570E1
2.800000000E-1,2.564821625E1,-2.907743835E1,2.339978027E1,4.528662203E1
2.900000000E-1,2.444835663E1,-2.732900620E1,2.205734253E1,4.279162396E1
3.000000000E-1,2.595837402E1,-2.744266319E1,2.233416748E1,4.388339073E1
3.100000000E-1,2.473918915E1,-2.895286179E1,2.281240845E1,4.439258569E1
3.200000000E-1,2.534449768E1,-2.805403137E1,2.189599609E1,4.368989453E1
3.300000000E-1,2.624586487E1,-2.877461815E1,2.233599854E1,4.489678054E1
3.400000000E-1,2.534250259E1,-2.908733749E1,2.295364380E1,4.489081648E1
3.500000000E-1,2.607441330E1,-2.997436142E1,2.144241333E1,4.514548107E1
3.600000000E-1,2.655985641E1,-2.919979095E1,2.428784180E1,4.634601411E1
3.700000000E-1,2.565742874E1,-2.700638771E1,2.188583374E1,4.320461023E1
3.800000000E-1,2.684844589E1,-2.861497307E1,2.202474976E1,4.499717027E1
3.900000000E-1,2.701284409E1,-2.904232407E1,2.412936401E1,4.642603300E1
4.000000000E-1,2.655532837E1,-2.817203712E1,2.247842407E1,4.476749590E1
4.100000000E-1,2.579731750E1,-2.730721283E1,2.098278809E1,4.302862836E1
4.200000000E-1,2.504404831E1,-2.938580704E1,2.371179199E1,4.530981230E1
4.300000000E-1,2.608615875E1,-2.996437073E1,2.279553223E1,4.580379330E1
