"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.183417511E1,-2.111171722E1,2.612942505E1,4.006473088E1
1.000000000E-2,2.123709869E1,-2.111930847E1,2.689099121E1,4.025127277E1
2.000000000E-2,1.957050323E1,-2.057164192E1,2.541162109E1,3.810442933E1
3.000000000E-2,2.110005951E1,-1.934233284E1,2.628308105E1,3.886050309E1
4.000000000E-2,2.094483185E1,-2.023352814E1,2.689141846E1,3.963874403E1
5.000000000E-2,2.140185547E1,-1.933576202E1,2.627816772E1,3.901862644E1
6.000000000E-2,2.063593292E1,-2.054087830E1,2.644683838E1,3.933452261E1
7.000000000E-2,2.212638092E1,-2.067118263E1,2.446847534E1,3.893046120E1
8.000000000E-2,1.973025513E1,-2.070820236E1,2.661267090E1,3.906848941E1
9.000000000E-2,2.078973389E1,-2.038775635E1,2.659396362E1,3.943491531E1
1.000000000E-1,2.079189301E1,-1.994380188E1,2.629098511E1,3.900351197E1
1.100000000E-1,2.214346313E1,-1.991978836E1,2.551712036E1,3.922058591E1
1.200000000E-1,2.124011230E1,-2.023250771E1,2.613476562E1,3.928769162E1
1.300000000E-1,2.079046631E1,-2.068187714E1,2.704647827E1,3.989355234E1
1.400000000E-1,2.003722382E1,-1.937087631E1,2.554858398E1,3.780808552E1
1.500000000E-1,2.155319977E1,-1.977421188E1,2.687933350E1,3.972478376E1
1.600000000E-1,2.063474274E1,-1.980502319E1,2.539065552E1,3.824548260E1
1.700000000E-1,2.185761261E1,-1.976542282E1,2.717510986E1,4.008632890E1
1.800000000E-1,2.109108734E1,-1.993945312E1,2.598541260E1,3.895712289E1
1.900000000E-1,2.186063385E1,-1.887862206E1,2.641888428E1,3.914392839E1
2.000000000E-1,2.244510651E1,-1.932386780E1,2.475747681E1,3.860216743E1
2.100000000E-1,1.988921356E1,-1.922432709E1,2.570065308E1,3.775816649E1
2.200000000E-1,2.155229950E1,-1.889074326E1,2.567208862E1,3.847619951E1
2.300000000E-1,2.094568634E1,-1.979068184E1,2.643814087E1,3.910713690E1
2.400000000E-1,2.186437988E1,-1.828594208E1,2.611517334E1,3.865784608E1
2.500000000E-1,2.047362518E1,-2.173285294E1,2.660562134E1,3.999181556E1
2.600000000E-1,2.094029999E1,-1.920577240E1,2.508203125E1,3.790074074E1
2.700000000E-1,2.138554382E1,-2.170759201E1,2.734259033E1,4.094115633E1
2.800000000E-1,2.064189148E1,-2.083055687E1,2.750073242E1,4.020311017E1
2.900000000E-1,2.065415955E1,-1.919902229E1,2.689108276E1,3.896571693E1
3.000000000E-1,2.215435791E1,-2.035264206E1,2.732354736E1,4.064015076E1
3.100000000E-1,2.185092163E1,-1.918162155E1,2.566867065E1,3.878502333E1
3.200000000E-1,2.003001404E1,-2.040862274E1,2.600488281E1,3.865187285E1
3.300000000E-1,2.138419342E1,-2.038238716E1,2.553167725E1,3.904602384E1
3.400000000E-1,2.078928375E1,-1.994602203E1,2.599032593E1,3.880122621E1
3.500000000E-1,2.154985809E1,-1.948231125E1,2.612609863E1,3.907083139E1
3.600000000E-1,2.108908844E1,-2.097275734E1,2.704306030E1,4.019867302E1
3.700000000E-1,2.076828003E1,-2.070074844E1,2.449063110E1,3.820514957E1
3.800000000E-1,2.169468689E1,-1.992631149E1,2.597555542E1,3.927399659E1
3.900000000E-1,2.079189301E1,-1.994380188E1,2.629098511E1,3.900351197E1
4.000000000E-1,2.155865479E1,-1.829584122E1,2.566909790E1,3.818921299E1
4.100000000E-1,2.078451538E1,-2.039219666E1,2.599255371E1,3.903140546E1
4.200000000E-1,2.048793793E1,-2.039432716E1,2.659887695E1,3.928338626E1
4.300000000E-1,2.003779602E1,-1.907564735E1,2.524639893E1,3.745362800E1
4.400000000E-1,2.018715668E1,-2.054740143E1,2.690521240E1,3.941582746E1
4.500000000E-1,2.048157501E1,-2.098922729E1,2.660186768E1,3.959421601E1
4.600000000E-1,2.078593445E1,-1.965412140E1,2.523709106E1,3.814774337E1
4.700000000E-1,2.110021973E1,-1.993168259E1,2.703781128E1,3.966780158E1
