"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.991307068E1,-2.263822174E1,6.782090759E1,7.422058322E1
1.000000000E-2,1.930890656E1,-2.294659233E1,6.813293457E1,7.444109581E1
2.000000000E-2,1.836064911E1,-2.491859818E1,6.560157776E1,7.253700418E1
3.000000000E-2,1.748554993E1,-2.476516342E1,6.892318726E1,7.529583997E1
4.000000000E-2,1.945690155E1,-2.309314156E1,6.798089600E1,7.438592895E1
5.000000000E-2,1.855298615E1,-2.370109177E1,6.890071106E1,7.518818411E1
6.000000000E-2,1.870240021E1,-2.310956764E1,6.799319458E1,7.420853320E1
7.000000000E-2,1.885415649E1,-2.266343689E1,6.753744507E1,7.369136364E1
8.000000000E-2,1.838034821E1,-2.416498184E1,6.695094299E1,7.351334787E1
9.000000000E-2,1.946717834E1,-2.249491310E1,6.842892456E1,7.461574810E1
1.000000000E-1,1.900620270E1,-2.206969261E1,6.693060303E1,7.299323732E1
1.100000000E-1,1.854845428E1,-2.267333794E1,6.709132385E1,7.320772600E1
1.200000000E-1,1.855236816E1,-2.267000771E1,6.754237366E1,7.362127310E1
1.300000000E-1,1.734487152E1,-2.284390259E1,6.771313477E1,7.353745354E1
1.400000000E-1,1.810317230E1,-2.356111336E1,6.905769348E1,7.517856037E1
1.500000000E-1,1.720021057E1,-2.298925400E1,6.861840820E1,7.438305578E1
1.600000000E-1,1.809142303E1,-2.357110214E1,6.770458984E1,7.393786533E1
1.700000000E-1,1.794818878E1,-2.297837830E1,6.785438538E1,7.385364557E1
1.800000000E-1,1.855758667E1,-2.266556740E1,6.814373779E1,7.417331710E1
1.900000000E-1,1.808881378E1,-2.357332230E1,6.740390015E1,7.366269384E1
2.000000000E-1,1.734169769E1,-2.314135170E1,6.771463013E1,7.363102451E1
2.100000000E-1,1.928269196E1,-2.370575714E1,6.603187561E1,7.275983595E1
2.200000000E-1,1.886908722E1,-2.235599709E1,6.888903809E1,7.484338733E1
2.300000000E-1,1.930311584E1,-2.324626160E1,6.783374023E1,7.425910903E1
2.400000000E-1,1.870677185E1,-2.354797363E1,6.904785156E1,7.531305452E1
2.500000000E-1,1.672028351E1,-2.361176682E1,6.622328186E1,7.226760321E1
2.600000000E-1,1.854600525E1,-2.326490784E1,6.754536438E1,7.380776718E1
2.700000000E-1,1.810907745E1,-2.252447701E1,6.845106506E1,7.430234895E1
2.800000000E-1,1.958525848E1,-2.531962204E1,6.814001465E1,7.528430916E1
2.900000000E-1,1.748619843E1,-2.240665245E1,6.605464172E1,7.190994996E1
3.000000000E-1,1.869644928E1,-2.281988716E1,6.693927002E1,7.315169401E1
3.100000000E-1,1.855775452E1,-2.325491714E1,6.889846802E1,7.504785353E1
3.200000000E-1,1.900334930E1,-2.354584312E1,6.844155884E1,7.483168439E1
3.300000000E-1,1.840174866E1,-2.252567673E1,6.739372253E1,7.340261782E1
3.400000000E-1,1.733692169E1,-2.358752823E1,6.771688843E1,7.377341879E1
3.500000000E-1,1.901708984E1,-2.250254822E1,6.873699951E1,7.478495493E1
3.600000000E-1,1.870615387E1,-2.251688766E1,6.768949890E1,7.374821140E1
3.700000000E-1,1.992930603E1,-2.232967377E1,6.932286072E1,7.550795049E1
3.800000000E-1,1.886011505E1,-2.295311737E1,6.859135437E1,7.474840086E1
3.900000000E-1,1.778905487E1,-2.387290192E1,6.801170349E1,7.424256010E1
4.000000000E-1,2.007555389E1,-2.203559685E1,6.841683960E1,7.462881034E1
4.100000000E-1,1.855179596E1,-2.296523666E1,6.784454346E1,7.398954862E1
4.200000000E-1,1.856150055E1,-2.266223717E1,6.859477234E1,7.458786153E1
4.300000000E-1,1.887107849E1,-2.132269287E1,6.783137512E1,7.356541501E1
4.400000000E-1,1.839004517E1,-2.386198235E1,6.770117188E1,7.410152924E1
4.500000000E-1,1.885342407E1,-2.236931801E1,6.708489990E1,7.318621306E1
4.600000000E-1,1.899564362E1,-2.281553841E1,6.663366699E1,7.294812435E1
4.700000000E-1,1.733517456E1,-2.314690208E1,6.696290588E1,7.294051081E1
4.800000000E-1,1.853352356E1,-2.298077774E1,6.573973083E1,7.206469213E1
4.900000000E-1,1.838743591E1,-2.386420250E1,6.740048218E1,7.382697988E1
5.000000000E-1,1.806996918E1,-2.388409233E1,6.560125732E1,7.211448270E1
5.100000000E-1,1.900620270E1,-2.206969261E1,6.693060303E1,7.299323732E1
5.200000000E-1,1.733834839E1,-2.284945297E1,6.696141052E1,7.284604536E1
5.300000000E-1,1.719226074E1,-2.373287964E1,6.862216187E1,7.461785647E1
5.400000000E-1,1.719034576E1,-2.270290375E1,6.711346436E1,7.290505417E1
5.500000000E-1,1.809676361E1,-2.282969856E1,6.740014648E1,7.342661463E1
5.600000000E-1,1.779179382E1,-2.313371658E1,6.740657043E1,7.345313137E1
5.700000000E-1,1.779179382E1,-2.313371658E1,6.740657043E1,7.345313137E1
5.800000000E-1,1.779179382E1,-2.313371658E1,6.740657043E1,7.345313137E1
