"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.712344360E1,-1.404251671E1,3.098321533E1,3.808364779E1
1.000000000E-2,1.712605286E1,-1.404029655E1,3.128390503E1,3.832902722E1
2.000000000E-2,1.680399323E1,-1.509571171E1,3.024166870E1,3.774669821E1
3.000000000E-2,1.680790710E1,-1.509238243E1,3.069268799E1,3.810940625E1
4.000000000E-2,1.636531830E1,-1.391465664E1,3.039337158E1,3.721825289E1
5.000000000E-2,1.605239105E1,-1.496230221E1,3.040356445E1,3.749568612E1
6.000000000E-2,1.696096802E1,-1.464514160E1,3.038729858E1,3.775635740E1
7.000000000E-2,1.711015320E1,-1.552754688E1,3.129138184E1,3.889746305E1
8.000000000E-2,1.544963837E1,-1.453259754E1,2.996008301E1,3.670823192E1
9.000000000E-2,1.724250793E1,-1.568741703E1,2.933517456E1,3.746934213E1
1.000000000E-1,1.770315552E1,-1.493393707E1,2.932406616E1,3.736743299E1
1.100000000E-1,1.635157776E1,-1.495795250E1,3.009793091E1,3.737646162E1
1.200000000E-1,1.695256805E1,-1.494703197E1,2.978741455E1,3.739108709E1
1.300000000E-1,1.649566650E1,-1.510783195E1,2.949484253E1,3.701755443E1
1.400000000E-1,1.771954346E1,-1.521473694E1,3.158071899E1,3.927864881E1
1.500000000E-1,1.605312347E1,-1.525642204E1,3.085607910E1,3.798103217E1
1.600000000E-1,1.755515289E1,-1.478738689E1,2.947613525E1,3.735897153E1
1.700000000E-1,1.544111633E1,-1.557145214E1,3.026605225E1,3.737555503E1
1.800000000E-1,1.621661377E1,-1.480030155E1,3.175344849E1,3.860452019E1
1.900000000E-1,1.620951843E1,-1.510108280E1,3.130389404E1,3.835003223E1
2.000000000E-1,1.679661560E1,-1.554410744E1,2.994320679E1,3.768741440E1
2.100000000E-1,1.666886902E1,-1.434871197E1,3.114242554E1,3.812594127E1
2.200000000E-1,1.681687927E1,-1.449526215E1,3.099038696E1,3.812248860E1
2.300000000E-1,1.635491943E1,-1.524985218E1,3.085113525E1,3.810293857E1
2.400000000E-1,1.771603394E1,-1.433348751E1,3.007278442E1,3.773167218E1
2.500000000E-1,1.772516632E1,-1.432571697E1,3.112521362E1,3.857702180E1
2.600000000E-1,1.620475006E1,-1.554725742E1,3.130615234E1,3.852773433E1
2.700000000E-1,1.606805420E1,-1.494898224E1,3.220767212E1,3.897420402E1
2.800000000E-1,1.694665527E1,-1.598366737E1,3.039404297E1,3.829444602E1
2.900000000E-1,1.713172913E1,-1.447759247E1,3.248892212E1,3.947944892E1
3.000000000E-1,1.696153259E1,-1.434991264E1,3.008508301E1,3.739954278E1
3.100000000E-1,1.772993469E1,-1.387954140E1,3.112295532E1,3.841393760E1
3.200000000E-1,1.695778656E1,-1.494259167E1,3.038879395E1,3.787250148E1
3.300000000E-1,1.709841156E1,-1.553753757E1,2.993829346E1,3.781629499E1
3.400000000E-1,1.727128601E1,-1.359971714E1,3.007641602E1,3.725373038E1
3.500000000E-1,1.649044800E1,-1.511227226E1,2.889346313E1,3.653967515E1
3.600000000E-1,1.531411743E1,-1.467017651E1,3.191778564E1,3.832076868E1
3.700000000E-1,1.667364502E1,-1.390253639E1,3.114019775E1,3.796054363E1
