"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.114616394E1,-1.502930737E1,2.626132202E1,3.691473098E1
1.000000000E-2,2.128940582E1,-1.562203217E1,2.611154175E1,3.713622627E1
2.000000000E-2,1.933308411E1,-1.624964714E1,2.749963379E1,3.733696602E1
3.000000000E-2,2.084754181E1,-1.473842716E1,2.626473999E1,3.662892029E1
4.000000000E-2,1.964197540E1,-1.594229698E1,2.794424438E1,3.769409536E1
5.000000000E-2,2.116442871E1,-1.501376724E1,2.836614990E1,3.844456671E1
6.000000000E-2,2.070027161E1,-1.488599682E1,2.686935425E1,3.704127891E1
7.000000000E-2,1.857914734E1,-1.597084236E1,2.720974731E1,3.661451721E1
8.000000000E-2,2.068914032E1,-1.592707253E1,2.687460327E1,3.746940709E1
9.000000000E-2,1.979124451E1,-1.476142216E1,2.628195190E1,3.606014336E1
1.000000000E-1,2.115847778E1,-1.472408676E1,2.731225586E1,3.755581491E1
1.100000000E-1,1.964197540E1,-1.594229698E1,2.794424438E1,3.769409536E1
1.200000000E-1,2.009161377E1,-1.549292755E1,2.703253174E1,3.707373086E1
1.300000000E-1,1.977954865E1,-1.609772682E1,2.658941650E1,3.684242695E1
1.400000000E-1,2.085088348E1,-1.503032684E1,2.701797485E1,3.729129969E1
1.500000000E-1,2.026641083E1,-1.458508205E1,2.867938232E1,3.802576754E1
1.600000000E-1,1.994519806E1,-1.519765186E1,2.718383789E1,3.698297703E1
1.700000000E-1,2.085263824E1,-1.547095203E1,2.777194214E1,3.801925366E1
1.800000000E-1,2.100525665E1,-1.458197689E1,2.686291504E1,3.708734368E1
1.900000000E-1,1.950192261E1,-1.505212212E1,2.809255981E1,3.736419787E1
2.000000000E-1,1.947513580E1,-1.610651779E1,2.629364014E1,3.646993750E1
2.100000000E-1,1.965771484E1,-1.386569595E1,2.718200684E1,3.629799957E1
2.200000000E-1,2.070027161E1,-1.488599682E1,2.686935425E1,3.704127891E1
2.300000000E-1,2.145114136E1,-1.472528648E1,2.625491333E1,3.696357669E1
2.400000000E-1,1.964601135E1,-1.520200157E1,2.748944092E1,3.705045176E1
2.500000000E-1,1.948149109E1,-1.551161766E1,2.629064941E1,3.621238772E1
2.600000000E-1,1.980155945E1,-1.548950768E1,2.839056396E1,3.792163930E1
2.700000000E-1,1.947847748E1,-1.639841652E1,2.704687500E1,3.714636720E1
2.800000000E-1,1.842780304E1,-1.553239250E1,2.660855103E1,3.590061461E1
