"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.054610443E1,-2.535551834E1,3.955404663E1,5.127930696E1
1.000000000E-2,2.101355743E1,-2.444887161E1,4.014355469E1,5.148613311E1
2.000000000E-2,1.949514008E1,-2.463710785E1,3.926684570E1,5.028849512E1
3.000000000E-2,2.025689697E1,-2.490925217E1,4.045877075E1,5.165002274E1
4.000000000E-2,2.010310364E1,-2.506237221E1,4.031164551E1,5.154887041E1
5.000000000E-2,1.994805145E1,-2.654291916E1,4.167471313E1,5.328445392E1
6.000000000E-2,1.873603821E1,-2.568905640E1,4.003610229E1,5.112588614E1
7.000000000E-2,2.114175415E1,-2.608600235E1,3.954794312E1,5.187960189E1
8.000000000E-2,2.117070007E1,-2.458765221E1,4.104388428E1,5.231970584E1
9.000000000E-2,1.935541534E1,-2.492563248E1,4.092459106E1,5.167921643E1
1.000000000E-1,2.024850464E1,-2.521114349E1,3.985888672E1,5.132576884E1
1.100000000E-1,1.935366058E1,-2.448500824E1,4.017059326E1,5.086999479E1
1.200000000E-1,2.054292297E1,-2.565296555E1,3.955554199E1,5.142691151E1
1.300000000E-1,2.025054169E1,-2.550415421E1,4.046176147E1,5.193939220E1
1.400000000E-1,2.145684052E1,-2.459440231E1,3.923486328E1,5.103582200E1
1.500000000E-1,2.069092560E1,-2.579951668E1,3.940350342E1,5.144283764E1
1.600000000E-1,2.010644531E1,-2.535427284E1,4.106488037E1,5.228224072E1
1.700000000E-1,1.962985992E1,-2.626868820E1,3.942297363E1,5.127910130E1
1.800000000E-1,2.114652252E1,-2.563982773E1,3.954568481E1,5.165691985E1
1.900000000E-1,1.981635284E1,-2.402453804E1,4.076235962E1,5.129752655E1
2.000000000E-1,2.026416779E1,-2.519782257E1,4.166305542E1,5.273876132E1
2.100000000E-1,2.071686554E1,-2.518796921E1,4.165567017E1,5.290384832E1
2.200000000E-1,2.009413147E1,-2.565949249E1,4.001397705E1,5.160718975E1
2.300000000E-1,1.979217529E1,-2.507671356E1,3.926416016E1,5.061863331E1
2.400000000E-1,1.992586517E1,-2.656178665E1,3.911883545E1,5.131132331E1
2.500000000E-1,2.055796814E1,-2.460856247E1,4.000134277E1,5.126713201E1
2.600000000E-1,2.069467926E1,-2.520683670E1,3.909979248E1,5.091608919E1
2.700000000E-1,2.176692200E1,-2.502290726E1,4.073562622E1,5.252938249E1
2.800000000E-1,2.145149994E1,-2.533580780E1,3.953927612E1,5.162774799E1
2.900000000E-1,2.056449127E1,-2.460301208E1,4.075305176E1,5.185573963E1
3.000000000E-1,2.070523834E1,-2.446099281E1,3.939672852E1,5.078532546E1
3.100000000E-1,1.978842926E1,-2.566939163E1,3.956784058E1,5.114795800E1
3.200000000E-1,1.994033813E1,-2.581261253E1,3.986682129E1,5.150991643E1
3.300000000E-1,1.966896820E1,-2.490907288E1,4.227276611E1,5.286129942E1
3.400000000E-1,2.009658051E1,-2.506792259E1,3.955990601E1,5.096331479E1
3.500000000E-1,2.055796814E1,-2.460856247E1,4.000134277E1,5.126713201E1
3.600000000E-1,2.023806763E1,-2.522002220E1,3.865615845E1,5.039769327E1
3.700000000E-1,1.949371338E1,-2.537518311E1,4.002230835E1,5.124148656E1
3.800000000E-1,2.129119110E1,-2.549447823E1,3.864041138E1,5.095453493E1
3.900000000E-1,1.949053955E1,-2.567263222E1,4.002380371E1,5.138939619E1
4.000000000E-1,2.010134888E1,-2.462174606E1,3.955767822E1,5.074548760E1
4.100000000E-1,1.932805634E1,-2.627525711E1,3.942788696E1,5.117148785E1
4.200000000E-1,1.947622681E1,-2.701115799E1,4.003054810E1,5.207082530E1
4.300000000E-1,1.979495239E1,-2.566384125E1,4.031954956E1,5.173141178E1
4.400000000E-1,2.056375885E1,-2.430889130E1,4.030050659E1,5.136069709E1
4.500000000E-1,2.115622711E1,-2.533682632E1,4.029592896E1,5.208937132E1
4.600000000E-1,1.979812622E1,-2.536639404E1,4.031805420E1,5.158454461E1
4.700000000E-1,1.905186462E1,-2.449157715E1,4.017553711E1,5.076302472E1
4.800000000E-1,2.099574280E1,-2.490614700E1,3.864233398E1,5.054074940E1
4.900000000E-1,2.011496735E1,-2.431541824E1,4.075894165E1,5.154748103E1
5.000000000E-1,2.026167297E1,-2.446307755E1,4.045651245E1,5.143643606E1
5.100000000E-1,1.994555664E1,-2.580817223E1,4.046820068E1,5.197655481E1
5.200000000E-1,2.100878906E1,-2.489504623E1,4.014578247E1,5.169928815E1
5.300000000E-1,2.145859528E1,-2.503502655E1,3.998883057E1,5.182982188E1
5.400000000E-1,2.129771423E1,-2.548892784E1,3.939215088E1,5.152688255E1
5.500000000E-1,2.102184296E1,-2.488394737E1,4.164923096E1,5.287520362E1
5.600000000E-1,2.130105591E1,-2.578082657E1,4.014538574E1,5.224976553E1
5.700000000E-1,2.130105591E1,-2.578082657E1,4.014538574E1,5.224976553E1
5.800000000E-1,2.130105591E1,-2.578082657E1,4.014538574E1,5.224976553E1
5.900000000E-1,2.130105591E1,-2.578082657E1,4.014538574E1,5.224976553E1
6.000000000E-1,2.145341492E1,-2.636578369E1,4.104797363E1,5.329483747E1
6.100000000E-1,2.084210968E1,-2.564861679E1,3.924993896E1,5.131084474E1
6.200000000E-1,1.996186829E1,-2.343634224E1,3.940377808E1,5.000396034E1
6.300000000E-1,2.026359558E1,-2.549305344E1,4.196520996E1,5.311862128E1
6.400000000E-1,2.087668610E1,-2.326124763E1,4.029034424E1,5.099248477E1
6.500000000E-1,1.875749207E1,-2.537606812E1,4.213940430E1,5.264520620E1
6.600000000E-1,2.027733612E1,-2.444975662E1,4.226068115E1,5.286706092E1
6.700000000E-1,1.876265717E1,-2.404531288E1,4.108026123E1,5.116446265E1
6.800000000E-1,1.919048309E1,-2.611982727E1,4.078271484E1,5.209366418E1
6.900000000E-1,2.131711578E1,-2.488292694E1,4.089260864E1,5.240023779E1
7.000000000E-1,1.996378326E1,-2.446631813E1,4.091247559E1,5.168156367E1
7.100000000E-1,2.175664520E1,-2.562113762E1,4.028759766E1,5.246794096E1
7.200000000E-1,2.054031372E1,-2.565518570E1,3.925485229E1,5.119605912E1
7.300000000E-1,2.101866150E1,-2.518139648E1,4.165075684E1,5.301577506E1
7.400000000E-1,1.993308258E1,-2.552404404E1,3.866256714E1,5.043410258E1
