"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.843674469E1,-4.114530945E1,4.207104492E1,6.166703224E1
1.000000000E-2,1.964048004E1,-4.156409836E1,4.220394897E1,6.240589746E1
2.000000000E-2,1.859111023E1,-4.069696426E1,4.191598511E1,6.130923330E1
3.000000000E-2,1.799346161E1,-4.099978638E1,4.297973633E1,6.206452190E1
4.000000000E-2,1.784863281E1,-4.055578613E1,4.313031006E1,6.183501539E1
5.000000000E-2,1.827777100E1,-4.262918854E1,4.298306274E1,6.323660578E1
6.000000000E-2,1.936269379E1,-3.992914581E1,4.295233154E1,6.175883241E1
7.000000000E-2,1.797263336E1,-4.234385681E1,4.223474121E1,6.244830762E1
8.000000000E-2,1.798693848E1,-4.100533295E1,4.222799683E1,6.154811940E1
9.000000000E-2,1.813478088E1,-4.056253433E1,4.132122803E1,6.067646459E1
1.000000000E-1,1.766963959E1,-4.161457443E1,4.118353271E1,6.115613081E1
1.100000000E-1,1.965654755E1,-4.066619873E1,4.295117188E1,6.232914845E1
1.200000000E-1,1.858992004E1,-3.996110916E1,4.085983276E1,6.009992767E1
1.300000000E-1,1.798041534E1,-4.101088333E1,4.147628784E1,6.103663114E1
1.400000000E-1,1.916763306E1,-4.188583374E1,4.025836182E1,6.117644090E1
1.500000000E-1,1.902949524E1,-4.202563477E1,4.191534424E1,6.233114590E1
1.600000000E-1,1.752555084E1,-4.146469116E1,4.178662109E1,6.142139080E1
1.700000000E-1,1.812899017E1,-4.086220551E1,4.102206421E1,6.067281002E1
1.800000000E-1,1.964423370E1,-4.097142029E1,4.190026855E1,6.180765085E1
1.900000000E-1,1.827902985E1,-4.130176544E1,4.147286987E1,6.131849392E1
2.000000000E-1,1.917677307E1,-4.187806320E1,4.131076050E1,6.187163919E1
2.100000000E-1,1.918806458E1,-4.142633820E1,4.206024170E1,6.207565747E1
2.200000000E-1,1.917041016E1,-4.247296143E1,4.131375122E1,6.227586304E1
2.300000000E-1,1.965218353E1,-4.022779083E1,4.189651489E1,6.131721971E1
2.400000000E-1,1.904840851E1,-3.965158081E1,4.115164185E1,6.023742486E1
2.500000000E-1,1.948334503E1,-4.142531586E1,4.130358887E1,6.165747303E1
2.600000000E-1,1.859371948E1,-4.069474411E1,4.221667480E1,6.151452051E1
2.700000000E-1,1.829407501E1,-4.025735855E1,4.191864014E1,6.093029205E1
2.800000000E-1,1.903426361E1,-4.157946014E1,4.191311646E1,6.203115369E1
2.900000000E-1,1.843095398E1,-4.144498444E1,4.177185059E1,6.166258429E1
3.000000000E-1,1.781414032E1,-4.087987518E1,3.952352905E1,5.958705513E1
3.100000000E-1,1.995397949E1,-4.022122192E1,4.189160156E1,6.140695622E1
3.200000000E-1,1.891362000E1,-4.008328247E1,4.356185913E1,6.214523414E1
3.300000000E-1,1.812507629E1,-4.086553192E1,4.057101440E1,6.036983766E1
3.400000000E-1,1.948651886E1,-4.112786865E1,4.130209351E1,6.145802572E1
3.500000000E-1,1.932692719E1,-4.158065796E1,4.085577393E1,6.141396823E1
3.600000000E-1,1.933255768E1,-4.069163895E1,4.040023804E1,6.051228388E1
3.700000000E-1,1.918210602E1,-4.113665771E1,4.100631714E1,6.116940285E1
3.800000000E-1,1.963117981E1,-4.098252106E1,4.039682007E1,6.080175429E1
3.900000000E-1,1.979541016E1,-4.082051849E1,4.174670410E1,6.165192857E1
4.000000000E-1,1.932102203E1,-4.261729431E1,4.146237183E1,6.251930857E1
4.100000000E-1,1.752873230E1,-4.116724396E1,4.178512573E1,6.122087196E1
4.200000000E-1,1.932040405E1,-4.158620834E1,4.010406494E1,6.091819730E1
4.300000000E-1,2.083013916E1,-4.184748077E1,4.053198242E1,6.187041251E1
4.400000000E-1,1.888365936E1,-4.143512726E1,4.176446533E1,6.178780564E1
4.500000000E-1,1.935474396E1,-4.067276764E1,4.295608521E1,6.224231195E1
4.600000000E-1,1.963191223E1,-4.127664185E1,4.084936523E1,6.130125431E1
4.700000000E-1,1.934043121E1,-4.201129150E1,4.296282959E1,6.312531679E1
4.800000000E-1,1.842300415E1,-4.218860626E1,4.177560425E1,6.216499570E1
4.900000000E-1,1.842227173E1,-4.189448547E1,4.132305908E1,6.166135922E1
5.000000000E-1,1.887889099E1,-4.188130188E1,4.176672363E1,6.208796321E1
5.100000000E-1,1.963452148E1,-4.127442169E1,4.115002441E1,6.150135632E1
5.200000000E-1,1.767599487E1,-4.101967621E1,4.118051147E1,6.075268847E1
5.300000000E-1,1.919181061E1,-4.083365631E1,4.175656128E1,6.147620265E1
5.400000000E-1,1.827585602E1,-4.159921265E1,4.147436523E1,6.151930085E1
5.500000000E-1,1.827585602E1,-4.159921265E1,4.147436523E1,6.151930085E1
5.600000000E-1,1.827585602E1,-4.159921265E1,4.147436523E1,6.151930085E1
5.700000000E-1,1.827585602E1,-4.159921265E1,4.147436523E1,6.151930085E1
5.800000000E-1,1.827585602E1,-4.159921265E1,4.147436523E1,6.151930085E1
5.900000000E-1,1.902949524E1,-4.202563477E1,4.191534424E1,6.233114590E1
6.000000000E-1,1.813869476E1,-4.055920410E1,4.177227783E1,6.098347711E1
6.100000000E-1,1.765976715E1,-4.132822418E1,3.967855835E1,5.995229339E1
6.200000000E-1,1.994602966E1,-4.096484756E1,4.189535522E1,6.189655584E1
6.300000000E-1,1.933390808E1,-4.201684189E1,4.221112061E1,6.261783857E1
6.400000000E-1,1.828102112E1,-4.026845932E1,4.041519165E1,5.990936709E1
6.500000000E-1,1.950417328E1,-4.008124161E1,4.204855347E1,6.127805115E1
6.600000000E-1,1.932158661E1,-4.232205963E1,4.116021729E1,6.211798393E1
6.700000000E-1,1.736251068E1,-4.236254883E1,4.149285889E1,6.178753644E1
6.800000000E-1,1.934838104E1,-4.126766968E1,4.295907593E1,6.263275991E1
6.900000000E-1,1.783689117E1,-4.056577301E1,4.177719116E1,6.090213730E1
7.000000000E-1,1.992257690E1,-4.231114197E1,4.084970093E1,6.209540942E1
7.100000000E-1,1.843935394E1,-4.114308929E1,4.237173462E1,6.187186328E1
7.200000000E-1,1.965145111E1,-3.993367386E1,4.144396973E1,6.081513352E1
7.300000000E-1,1.964031982E1,-4.097474670E1,4.144921875E1,6.150373782E1
7.400000000E-1,1.904204559E1,-4.024648285E1,4.115463257E1,6.063070727E1
7.500000000E-1,1.826790619E1,-4.234283829E1,4.147811890E1,6.202472650E1
7.600000000E-1,1.978427887E1,-4.186159515E1,4.175195312E1,6.234610195E1
7.700000000E-1,1.948316956E1,-4.083596802E1,4.054885864E1,6.075672899E1
7.800000000E-1,1.978053284E1,-4.245427322E1,4.205563354E1,6.294689116E1
7.900000000E-1,1.858417511E1,-4.158709335E1,4.222116089E1,6.210864936E1
8.000000000E-1,1.919458771E1,-4.142079163E1,4.281195068E1,6.258575954E1
8.100000000E-1,2.099120331E1,-4.198292542E1,4.188336182E1,6.290796960E1
8.200000000E-1,1.857805634E1,-4.070806503E1,4.041253662E1,6.029480784E1
8.300000000E-1,1.798375702E1,-4.130278397E1,4.222949219E1,6.174678526E1
8.400000000E-1,1.782400513E1,-4.116622162E1,4.102847290E1,6.079217507E1
8.500000000E-1,1.841909027E1,-4.219194031E1,4.132455444E1,6.186389507E1
8.600000000E-1,1.948986816E1,-4.141976929E1,4.205529785E1,6.216188805E1
8.700000000E-1,1.949043274E1,-4.112453461E1,4.175314331E1,6.176106614E1
8.800000000E-1,1.889001465E1,-4.084022522E1,4.176147461E1,6.139036904E1
8.900000000E-1,1.843140411E1,-4.188671875E1,4.237548828E1,6.236902975E1
9.000000000E-1,1.736784363E1,-4.162114334E1,4.118844604E1,6.107740706E1
9.100000000E-1,1.888945007E1,-4.113545609E1,4.206365967E1,6.179230159E1
9.200000000E-1,1.934169769E1,-4.068386841E1,4.145263672E1,6.121764051E1
9.300000000E-1,1.677741241E1,-4.088621521E1,4.179592896E1,6.082815005E1
9.400000000E-1,1.889914703E1,-4.083245850E1,4.281387329E1,6.210873668E1
9.500000000E-1,1.843674469E1,-4.114530945E1,4.207104492E1,6.166703224E1
9.600000000E-1,1.826846313E1,-4.204760742E1,4.117593384E1,6.162138884E1
9.700000000E-1,1.947681427E1,-4.143087006E1,4.055184937E1,6.115812109E1
9.800000000E-1,1.693381500E1,-4.073088074E1,4.224371338E1,6.107610053E1
9.900000000E-1,1.963571167E1,-4.201027298E1,4.220617676E1,6.270395175E1
1.000000000E0,2.053224945E1,-4.185071564E1,4.098794556E1,6.207308070E1
1.010000000E0,1.858918762E1,-3.966698837E1,4.040728760E1,5.959678476E1
1.020000000E0,1.857487488E1,-4.100551605E1,4.041403198E1,6.049605197E1
1.030000000E0,1.932040405E1,-4.158620834E1,4.010406494E1,6.091819730E1
1.040000000E0,1.887497711E1,-4.188463211E1,4.131567383E1,6.178650396E1
1.050000000E0,1.843340302E1,-4.085341263E1,4.131781006E1,6.095861792E1
1.060000000E0,1.888365936E1,-4.143512726E1,4.176446533E1,6.178780564E1
1.070000000E0,1.857026672E1,-4.204103851E1,4.117102051E1,6.170378153E1
1.080000000E0,1.705327606E1,-4.149119949E1,3.953881836E1,5.979675591E1
1.090000000E0,1.856447601E1,-4.234070587E1,4.087182617E1,6.170803285E1
1.100000000E0,1.934185791E1,-4.127321625E1,4.220736694E1,6.212123366E1
1.110000000E0,1.799085236E1,-4.100200653E1,4.267904663E1,6.185738702E1
1.120000000E0,1.887847900E1,-4.276588440E1,4.282363892E1,6.339701797E1
1.130000000E0,1.736824799E1,-4.073656464E1,4.013153076E1,5.976339597E1
1.140000000E0,1.736841583E1,-4.132591248E1,4.088626099E1,6.067272244E1
1.150000000E0,1.813552094E1,-4.085665131E1,4.177377319E1,6.118178816E1
1.160000000E0,1.843095398E1,-4.144498444E1,4.177185059E1,6.166258429E1
1.170000000E0,1.888014221E1,-4.055387878E1,4.025653076E1,6.018027188E1
1.180000000E0,1.903727722E1,-4.069265747E1,4.115689087E1,6.092782584E1
1.190000000E0,1.887513733E1,-4.247398376E1,4.207040405E1,6.269153853E1
1.200000000E0,1.903671265E1,-4.098788834E1,4.145904541E1,6.132907846E1
1.210000000E0,1.812699890E1,-4.189550781E1,4.207971191E1,6.208481150E1
1.220000000E0,1.918472290E1,-4.113443756E1,4.130700684E1,6.137071256E1
1.230000000E0,1.903601837E1,-4.202008438E1,4.266708374E1,6.283738952E1
1.240000000E0,1.901325989E1,-4.233418274E1,4.041339111E1,6.153803101E1
1.250000000E0,1.905509949E1,-4.023538208E1,4.265808105E1,6.165788406E1
1.260000000E0,1.706808472E1,-4.192072296E1,4.179623413E1,6.160837376E1
1.270000000E0,1.858139801E1,-4.099996185E1,4.116577148E1,6.099906529E1
1.280000000E0,1.857503510E1,-4.159486389E1,4.116876221E1,6.140058316E1
1.290000000E0,1.829390717E1,-3.966800690E1,4.116394043E1,6.002239417E1
1.300000000E0,1.844526672E1,-4.010645676E1,4.176510620E1,6.077071527E1
1.310000000E0,1.841590881E1,-4.248938751E1,4.132604980E1,6.206719054E1
1.320000000E0,1.842879486E1,-4.188893890E1,4.207476807E1,6.216582494E1
1.330000000E0,1.798097992E1,-4.071565247E1,4.117410278E1,6.063321478E1
1.340000000E0,1.752465057E1,-4.058122253E1,4.057934570E1,6.000526892E1
1.350000000E0,1.887513733E1,-4.247398376E1,4.207040405E1,6.269153853E1
1.360000000E0,1.858792877E1,-4.099441528E1,4.191748047E1,6.150714064E1
1.370000000E0,1.812842560E1,-4.115743256E1,4.132421875E1,6.107589643E1
1.380000000E0,1.964105225E1,-4.126886749E1,4.190176392E1,6.200522701E1
1.390000000E0,1.844049072E1,-4.055263519E1,4.176736450E1,6.106619897E1
1.400000000E0,1.842227173E1,-4.189448547E1,4.132305908E1,6.166135922E1
1.410000000E0,1.843674469E1,-4.114530945E1,4.207104492E1,6.166703224E1
1.420000000E0,1.770018005E1,-3.996749878E1,4.267871094E1,6.109148631E1
1.430000000E0,1.799085236E1,-4.100200653E1,4.267904663E1,6.185738702E1
1.440000000E0,1.797779846E1,-4.101310349E1,4.117559814E1,6.083342648E1
1.450000000E0,1.749993896E1,-4.325494385E1,4.104388428E1,6.214369210E1
1.460000000E0,1.859445190E1,-4.098886490E1,4.266921997E1,6.202018236E1
1.470000000E0,1.827585602E1,-4.159921265E1,4.147436523E1,6.151930085E1
1.480000000E0,1.858417511E1,-4.158709335E1,4.222116089E1,6.210864936E1
1.490000000E0,1.800585938E1,-3.863128281E1,4.146426392E1,5.946320009E1
1.500000000E0,1.844008636E1,-4.143721390E1,4.282424927E1,6.237784708E1
1.510000000E0,1.798114777E1,-4.130500412E1,4.192883301E1,6.154227878E1
1.520000000E0,1.904641724E1,-4.068489075E1,4.220928955E1,6.164130489E1
1.530000000E0,1.812524414E1,-4.145488358E1,4.132571411E1,6.127680225E1
1.540000000E0,1.812438965E1,-4.189772797E1,4.177902222E1,6.188214449E1
1.550000000E0,1.918863678E1,-4.113110733E1,4.175805664E1,6.167420098E1
1.560000000E0,1.783632660E1,-4.086100006E1,4.207937622E1,6.130603376E1
1.570000000E0,1.767338562E1,-4.102189636E1,4.087985229E1,6.055003604E1
1.580000000E0,1.859053802E1,-4.099219513E1,4.221817017E1,6.171176596E1
1.590000000E0,1.856765747E1,-4.204325867E1,4.087033081E1,6.150428801E1
1.600000000E0,1.768831635E1,-4.071445465E1,4.223141479E1,6.127018645E1
1.610000000E0,1.842879486E1,-4.188893890E1,4.207476807E1,6.216582494E1
1.620000000E0,1.965145111E1,-3.993367386E1,4.144396973E1,6.081513352E1
1.630000000E0,1.888610077E1,-4.084355927E1,4.131042480E1,6.108545108E1
1.640000000E0,1.920236969E1,-4.008781433E1,4.205349731E1,6.119036277E1
1.650000000E0,1.768656158E1,-4.027382660E1,4.147744751E1,6.045803686E1
1.660000000E0,1.933606720E1,-4.157288742E1,4.190817261E1,6.211669175E1
1.670000000E0,1.765255737E1,-4.236596680E1,4.013485718E1,6.096962100E1
1.680000000E0,1.950201416E1,-4.052519989E1,4.235153198E1,6.177598760E1
1.690000000E0,1.751123810E1,-4.280321884E1,4.179336548E1,6.233333298E1
1.700000000E0,1.799085236E1,-4.100200653E1,4.267904663E1,6.185738702E1
1.710000000E0,1.903034973E1,-4.158278656E1,4.146206665E1,6.172831862E1
1.720000000E0,1.858474731E1,-4.129186249E1,4.191897583E1,6.170584474E1
1.730000000E0,1.616394043E1,-4.061301041E1,4.030081177E1,5.945456260E1
1.740000000E0,1.844049072E1,-4.055263519E1,4.176736450E1,6.106619897E1
1.750000000E0,1.963436127E1,-4.068507004E1,4.039532471E1,6.060169407E1
1.760000000E0,1.905118561E1,-4.023871231E1,4.220703125E1,6.134765789E1
1.770000000E0,1.664070892E1,-4.028794479E1,4.269744873E1,6.101724197E1
1.780000000E0,1.919067383E1,-4.142411804E1,4.236093140E1,6.227911389E1
1.790000000E0,1.782996368E1,-4.145590210E1,4.208236694E1,6.170433560E1
1.800000000E0,1.662623596E1,-4.103711700E1,4.194946289E1,6.099372206E1
1.810000000E0,1.797837067E1,-4.071787262E1,4.087341309E1,6.043014860E1
1.820000000E0,1.886322784E1,-4.189462280E1,3.996255493E1,6.089323921E1
1.830000000E0,1.843935394E1,-4.114308929E1,4.237173462E1,6.187186328E1
1.840000000E0,1.949956512E1,-4.111676788E1,4.280554199E1,6.247508357E1
1.850000000E0,1.797263336E1,-4.234385681E1,4.223474121E1,6.244830762E1
1.860000000E0,1.754104614E1,-4.086202240E1,4.283602905E1,6.174397590E1
1.870000000E0,1.751567841E1,-4.117834473E1,4.028167725E1,6.020854247E1
1.880000000E0,1.751760101E1,-4.220832062E1,4.179037476E1,6.192611805E1
1.890000000E0,1.842504120E1,-4.248161697E1,4.237847900E1,6.277025893E1
1.900000000E0,1.780435944E1,-4.324615479E1,4.133966064E1,6.241948943E1
1.910000000E0,1.780435944E1,-4.324615479E1,4.133966064E1,6.241948943E1
1.920000000E0,1.780435944E1,-4.324615479E1,4.133966064E1,6.241948943E1
1.930000000E0,1.780435944E1,-4.324615479E1,4.133966064E1,6.241948943E1
1.940000000E0,1.826863861E1,-4.263695908E1,4.193066406E1,6.252866562E1
1.950000000E0,1.857242584E1,-4.159708405E1,4.086807251E1,6.120009602E1
1.960000000E0,1.933390808E1,-4.201684189E1,4.221112061E1,6.261783857E1
1.970000000E0,1.916069794E1,-4.277596283E1,4.056353760E1,6.198641725E1
1.980000000E0,1.904005432E1,-4.127978897E1,4.221228027E1,6.203564501E1
1.990000000E0,1.858332062E1,-4.202993774E1,4.267446899E1,6.271336202E1
2.000000000E0,1.842300415E1,-4.218860626E1,4.177560425E1,6.216499570E1
2.010000000E0,1.857821655E1,-4.129741669E1,4.116726685E1,6.119943313E1
2.020000000E0,1.857765198E1,-4.159264374E1,4.146945190E1,6.160188802E1
2.030000000E0,1.993575287E1,-4.156307983E1,4.144729614E1,6.199033961E1
2.040000000E0,1.964048004E1,-4.156409836E1,4.220394897E1,6.240589746E1
2.050000000E0,1.658847046E1,-4.372193909E1,4.091055298E1,6.213258931E1
2.060000000E0,1.905628204E1,-4.097123718E1,4.371423340E1,6.287064787E1
2.070000000E0,1.950535583E1,-4.081710052E1,4.310473633E1,6.248610162E1
2.080000000E0,2.037454987E1,-4.200716782E1,4.038977051E1,6.173376703E1
2.090000000E0,1.799011993E1,-4.070788574E1,4.222650146E1,6.135025512E1
2.100000000E0,1.750772858E1,-4.192196655E1,4.028540039E1,6.071972764E1
2.110000000E0,1.931967163E1,-4.129209137E1,3.965151978E1,6.041961223E1
2.120000000E0,1.797518921E1,-4.101532364E1,4.087490845E1,6.063103447E1
2.130000000E0,1.661334229E1,-4.163756943E1,4.120074463E1,6.088671191E1
2.140000000E0,1.782662201E1,-4.116400146E1,4.132916260E1,6.099477969E1
2.150000000E0,1.842426300E1,-4.086118317E1,4.026541138E1,6.025274359E1
2.160000000E0,1.965075684E1,-4.096586990E1,4.265197754E1,6.231810274E1
2.170000000E0,1.903353119E1,-4.128533936E1,4.146057129E1,6.152831484E1
2.180000000E0,1.813160706E1,-4.085998535E1,4.132272339E1,6.087578374E1
2.190000000E0,1.841255951E1,-4.219748688E1,4.057284546E1,6.136616360E1
2.200000000E0,1.918068695E1,-4.187473297E1,4.176181030E1,6.217266934E1
2.210000000E0,1.782662201E1,-4.116400146E1,4.132916260E1,6.099477969E1
2.220000000E0,1.828873444E1,-4.099876404E1,4.222308350E1,6.162925636E1
2.230000000E0,1.843340302E1,-4.085341263E1,4.131781006E1,6.095861792E1
2.240000000E0,1.964439392E1,-4.156076813E1,4.265499878E1,6.271083304E1
2.250000000E0,1.812524414E1,-4.145488358E1,4.132571411E1,6.127680225E1
2.260000000E0,1.932277679E1,-4.305791473E1,4.221636963E1,6.332120963E1
2.270000000E0,1.843992615E1,-4.084786224E1,4.206951904E1,6.146887960E1
2.280000000E0,1.857560730E1,-4.129963684E1,4.086657715E1,6.099828127E1
2.290000000E0,1.827959442E1,-4.100653458E1,4.117068481E1,6.091555416E1
2.300000000E0,1.842504120E1,-4.248161697E1,4.237847900E1,6.277025893E1
2.310000000E0,1.856056213E1,-4.234403992E1,4.042077637E1,6.141132913E1
2.320000000E0,1.888348389E1,-4.084577942E1,4.100973511E1,6.088318350E1
2.330000000E0,1.706751251E1,-4.221595383E1,4.209841919E1,6.201422127E1
2.340000000E0,1.812580872E1,-4.115965271E1,4.102355957E1,6.087359356E1
2.350000000E0,1.706632233E1,-4.148009872E1,4.104226685E1,6.079741455E1
2.360000000E0,1.842050934E1,-4.145386505E1,4.056909180E1,6.085712203E1
2.370000000E0,1.887497711E1,-4.188463211E1,4.131567383E1,6.178650396E1
2.380000000E0,1.903671265E1,-4.098788834E1,4.145904541E1,6.132907846E1
2.390000000E0,1.860558319E1,-3.994779205E1,4.266397095E1,6.133684238E1
2.400000000E0,1.767617035E1,-4.160902405E1,4.193524170E1,6.166297412E1
2.410000000E0,1.752816010E1,-4.146247101E1,4.208728027E1,6.162557959E1
2.420000000E0,1.827641296E1,-4.130398560E1,4.117218018E1,6.111624103E1
2.430000000E0,1.904466248E1,-4.024426270E1,4.145529175E1,6.083453840E1
2.440000000E0,1.901065063E1,-4.233640289E1,4.011273193E1,6.134172406E1
2.450000000E0,1.647765350E1,-4.118579865E1,4.240371704E1,6.136658939E1
2.460000000E0,1.813233948E1,-4.115410233E1,4.177526855E1,6.138090042E1
2.470000000E0,1.903744507E1,-4.128200912E1,4.191159058E1,6.183211153E1
2.480000000E0,1.963395691E1,-4.156964874E1,4.145220947E1,6.190164481E1
2.490000000E0,1.812899017E1,-4.086220551E1,4.102206421E1,6.067281002E1
2.500000000E0,1.855738831E1,-4.264148712E1,4.042227173E1,6.161682511E1
2.510000000E0,1.812564087E1,-4.057030487E1,4.026882935E1,5.996721697E1
2.520000000E0,1.857503510E1,-4.159486389E1,4.116876221E1,6.140058316E1
2.530000000E0,1.795554352E1,-4.309525299E1,4.118609619E1,6.225670159E1
2.540000000E0,1.813034058E1,-4.218740845E1,4.283291626E1,6.279446947E1
2.550000000E0,1.859371948E1,-4.069474411E1,4.221667480E1,6.151452051E1
2.560000000E0,1.932016754E1,-4.306013489E1,4.191567993E1,6.312185291E1
2.570000000E0,1.752163696E1,-4.146802521E1,4.133557129E1,6.111656347E1
2.580000000E0,1.841965485E1,-4.189670563E1,4.102236938E1,6.146098288E1
2.590000000E0,1.737681580E1,-4.102402496E1,4.148611450E1,6.087710611E1
2.600000000E0,1.980397034E1,-4.110797882E1,4.310131836E1,6.276772107E1
2.610000000E0,1.813437653E1,-4.144711304E1,4.237817383E1,6.198893779E1
