"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.443008423E1,-2.452216339E1,-1.113250732E0,3.463242469E1
1.000000000E-2,2.533695221E1,-2.509069252E1,-2.229309082E-1,3.565885159E1
2.000000000E-2,2.454611969E1,-2.705386353E1,-2.005004883E0,3.658474502E1
3.000000000E-2,2.501647949E1,-2.599738312E1,-1.265930176E0,3.610111846E1
4.000000000E-2,2.652099228E1,-2.626309204E1,-1.439361572E0,3.735217258E1
5.000000000E-2,2.455525970E1,-2.704609299E1,-9.526062012E-1,3.654256947E1
6.000000000E-2,2.501448441E1,-2.703068924E1,-2.082824707E-1,3.682968874E1
7.000000000E-2,2.364707947E1,-2.647867203E1,-1.993255615E0,3.555668021E1
8.000000000E-2,2.425345612E1,-2.705266190E1,-9.476928711E-1,3.634521662E1
9.000000000E-2,2.488078690E1,-2.554561234E1,-6.295776367E-2,3.566000322E1
1.000000000E-1,2.440798187E1,-2.719366264E1,-3.480224609E-1,3.654265982E1
1.100000000E-1,2.424028778E1,-2.780072784E1,-1.545318604E0,3.691693419E1
1.200000000E-1,2.455583191E1,-2.675086212E1,-1.254791260E0,3.633417133E1
1.300000000E-1,2.486325455E1,-2.585527229E1,-1.715270996E0,3.591126128E1
1.400000000E-1,2.441895294E1,-2.556323814E1,-1.108001709E0,3.536936634E1
1.500000000E-1,2.606177139E1,-2.627849770E1,-2.183715820E0,3.707484301E1
1.600000000E-1,2.546094513E1,-2.687876892E1,-1.118469238E0,3.704023379E1
1.700000000E-1,2.409966278E1,-2.720578384E1,-1.094818115E0,3.636134001E1
1.800000000E-1,2.515914536E1,-2.688533783E1,-1.113555908E0,3.683807802E1
1.900000000E-1,2.561212540E1,-2.672786713E1,-1.272003174E0,3.704021923E1
2.000000000E-1,2.410936737E1,-2.690278244E1,-3.446044922E-1,3.612672211E1
2.100000000E-1,2.380043030E1,-2.588381767E1,-2.449768066E0,3.524817532E1
2.200000000E-1,2.410936737E1,-2.690278244E1,-3.446044922E-1,3.612672211E1
2.300000000E-1,2.409688568E1,-2.661865234E1,-2.150238037E0,3.596993294E1
2.400000000E-1,2.334027100E1,-2.840534782E1,-1.744689941E-1,3.676496259E1
2.500000000E-1,2.529976654E1,-2.748028183E1,-1.564056396E0,3.738569712E1
2.600000000E-1,2.500995636E1,-2.600293350E1,-2.017639160E0,3.613476630E1
2.700000000E-1,2.364389801E1,-2.677612305E1,-1.991760254E0,3.577655360E1
2.800000000E-1,2.289649963E1,-2.649176788E1,-1.529937744E0,3.504859727E1
2.900000000E-1,2.515119553E1,-2.762896347E1,-1.109802246E0,3.737878971E1
3.000000000E-1,2.486647797E1,-2.688413620E1,-5.621337891E-2,3.662105495E1
3.100000000E-1,2.486125946E1,-2.688857651E1,-6.575622559E-1,3.662663180E1
3.200000000E-1,2.410080719E1,-2.661532211E1,-1.699218750E0,3.594595419E1
3.300000000E-1,2.637441254E1,-2.537846756E1,-2.042785645E0,3.665854915E1
3.400000000E-1,2.441895294E1,-2.556323814E1,-1.108001709E0,3.536936634E1
3.500000000E-1,2.528806686E1,-2.881658936E1,-1.256591797E0,3.835962944E1
3.600000000E-1,2.410602570E1,-2.661088181E1,-1.097808838E0,3.592276005E1
3.700000000E-1,2.440839386E1,-2.630908203E1,-1.404907227E0,3.591533450E1
3.800000000E-1,2.410675812E1,-2.690500259E1,-6.452636719E-1,3.613075306E1
3.900000000E-1,2.517345428E1,-2.554681396E1,-1.120300293E0,3.588310991E1
4.000000000E-1,2.455004120E1,-2.705053329E1,-1.553985596E0,3.656296960E1
4.100000000E-1,2.499160767E1,-2.808175278E1,-1.556121826E0,3.762428482E1
4.200000000E-1,2.486904144E1,-2.555560303E1,-1.416046143E0,3.568701802E1
4.300000000E-1,2.441776276E1,-2.482738304E1,-2.164154053E0,3.488996488E1
4.400000000E-1,2.333415222E1,-2.752631760E1,-1.983093262E0,3.614019202E1
4.500000000E-1,2.499621582E1,-2.704622841E1,-2.313110352E0,3.690067419E1
4.600000000E-1,2.499996567E1,-2.645354843E1,-2.616790771E0,3.649158947E1
4.700000000E-1,2.499996567E1,-2.645354843E1,-2.616790771E0,3.649158947E1
4.800000000E-1,2.499996567E1,-2.645354843E1,-2.616790771E0,3.649158947E1
4.900000000E-1,2.499996567E1,-2.645354843E1,-2.616790771E0,3.649158947E1
5.000000000E-1,2.499996567E1,-2.645354843E1,-2.616790771E0,3.649158947E1
5.100000000E-1,2.441316223E1,-2.586290741E1,-1.407165527E0,3.559315362E1
5.200000000E-1,2.485212326E1,-2.689634705E1,-1.710021973E0,3.666013762E1
5.300000000E-1,2.532129288E1,-2.510401154E1,-2.027069092E0,3.571397874E1
5.400000000E-1,2.681961441E1,-2.655397224E1,-1.442779541E0,3.776885982E1
5.500000000E-1,2.425284576E1,-2.602157593E1,-2.306060791E0,3.564604968E1
5.600000000E-1,2.483765030E1,-2.764552307E1,-2.457977295E0,3.724547584E1
5.700000000E-1,2.423654175E1,-2.839340782E1,-1.241607666E0,3.735153482E1
5.800000000E-1,2.608158493E1,-2.478791809E1,-1.740173340E0,3.602385542E1
5.900000000E-1,2.426197815E1,-2.601380730E1,-1.253631592E0,3.559400716E1
6.000000000E-1,2.545254135E1,-2.718065643E1,-1.718353271E0,3.727697256E1
6.100000000E-1,2.456435394E1,-2.571200943E1,-1.560760498E0,3.559425357E1
6.200000000E-1,2.439089966E1,-2.794505692E1,-1.396667480E0,3.711863241E1
6.300000000E-1,2.456696320E1,-2.570978928E1,-1.260040283E0,3.558253289E1
6.400000000E-1,2.664873505E1,-2.745848846E1,-2.638580322E0,3.835473601E1
6.500000000E-1,2.426255035E1,-2.571857834E1,-1.555816650E0,3.539120211E1
6.600000000E-1,2.440981293E1,-2.557100677E1,-2.160400391E0,3.541726534E1
6.700000000E-1,2.483907318E1,-2.690744781E1,-3.213470459E0,3.676025975E1
6.800000000E-1,2.560633850E1,-2.702753830E1,-1.571228027E0,3.726447578E1
6.900000000E-1,2.393775177E1,-2.751317787E1,-1.992919922E0,3.652345337E1
7.000000000E-1,2.515779114E1,-2.556013298E1,-2.924407959E0,3.598314904E1
7.100000000E-1,2.408575439E1,-2.765972900E1,-2.144989014E0,3.673942230E1
7.200000000E-1,2.378929901E1,-2.692489243E1,-2.444519043E0,3.601189044E1
7.300000000E-1,2.575814056E1,-2.790772247E1,-3.663940430E-1,3.797969225E1
7.400000000E-1,2.531293869E1,-2.673221779E1,-9.664001465E-1,3.682784629E1
7.500000000E-1,2.574582291E1,-2.821294212E1,-1.417297363E0,3.822075656E1
7.600000000E-1,2.379843140E1,-2.691712189E1,-1.392089844E0,3.595601065E1
7.700000000E-1,2.529976654E1,-2.748028183E1,-1.564056396E0,3.738569712E1
7.800000000E-1,2.304450226E1,-2.663831711E1,-1.681976318E0,3.526298437E1
7.900000000E-1,2.563948822E1,-2.537824249E1,2.247009277E-1,3.607615610E1
8.000000000E-1,2.440782166E1,-2.660431290E1,-1.102752686E0,3.612128578E1
8.100000000E-1,2.559724808E1,-2.836162186E1,-9.630737305E-1,3.821685773E1
8.200000000E-1,2.438580322E1,-2.721253204E1,-2.903869629E0,3.665544650E1
8.300000000E-1,2.484820938E1,-2.689967728E1,-2.161010742E0,3.668373092E1
8.400000000E-1,2.410675812E1,-2.690500259E1,-6.452636719E-1,3.613075306E1
8.500000000E-1,2.349924469E1,-2.692147255E1,-1.086486816E0,3.575137254E1
8.600000000E-1,2.561530685E1,-2.643041801E1,-1.273498535E0,3.682842299E1
8.700000000E-1,2.438898468E1,-2.691508293E1,-2.905364990E0,3.643741770E1
8.800000000E-1,2.455322266E1,-2.675308228E1,-1.555511475E0,3.634567058E1
