"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.873686218E1,-5.815361023E0,3.287182617E1,3.828113614E1
1.000000000E-2,1.781461334E1,-5.112537384E0,3.002627563E1,3.528563044E1
2.000000000E-2,1.782192230E1,-6.727421761E0,3.289108276E1,3.800924155E1
3.000000000E-2,1.796596527E1,-5.550986290E0,3.062747192E1,3.593927369E1
4.000000000E-2,1.736135101E1,-5.417622566E0,3.033587646E1,3.536993842E1
5.000000000E-2,1.724921417E1,-2.882590294E0,3.167868042E1,3.618540465E1
6.000000000E-2,1.782765961E1,-5.101436615E0,3.152972412E1,3.657832153E1
7.000000000E-2,1.737638855E1,-4.373216629E0,3.078164673E1,3.561704196E1
8.000000000E-2,1.661088562E1,-4.693750381E0,2.989337158E1,3.451907412E1
9.000000000E-2,1.661683655E1,-4.983431816E0,3.094729614E1,3.547800710E1
1.000000000E-1,1.797436523E1,-5.249096870E0,3.122735596E1,3.641124254E1
1.100000000E-1,1.782113647E1,-5.106987000E0,3.077801514E1,3.592993790E1
1.200000000E-1,1.842877960E1,-4.353550911E0,3.031338501E1,3.574177715E1
1.300000000E-1,1.797118378E1,-5.546545982E0,3.122885132E1,3.645502398E1
1.400000000E-1,1.797509766E1,-5.543215752E0,3.167990112E1,3.684355455E1
1.500000000E-1,1.917867279E1,-5.372652054E0,3.105807495E1,3.689567590E1
1.600000000E-1,1.869975281E1,-6.141671181E0,2.896435547E1,3.501906292E1
1.700000000E-1,1.781970978E1,-5.845061302E0,3.153347778E1,3.668878602E1
1.800000000E-1,1.857257843E1,-4.651045799E0,2.986138916E1,3.547217866E1
1.900000000E-1,1.676427460E1,-5.425211906E0,3.109744263E1,3.574247844E1
2.000000000E-1,1.856304169E1,-5.543395996E0,2.986590576E1,3.559898991E1
2.100000000E-1,1.796262360E1,-5.259086609E0,2.987423706E1,3.525313998E1
2.200000000E-1,1.646956635E1,-5.131001472E0,3.155187988E1,3.595962897E1
2.300000000E-1,1.889464569E1,-3.595631599E0,3.090365601E1,3.640016699E1
2.400000000E-1,1.735396576E1,-5.866017342E0,3.003741455E1,3.518261730E1
2.500000000E-1,1.721073151E1,-5.273291588E0,3.018725586E1,3.514665417E1
2.600000000E-1,1.827339172E1,-4.655395508E0,3.016702271E1,3.557581779E1
2.700000000E-1,1.843967438E1,-4.786405563E0,3.211978149E1,3.734449936E1
2.800000000E-1,1.615806580E1,-5.440571785E0,3.080657959E1,3.520977503E1
2.900000000E-1,1.856956482E1,-5.537846565E0,3.061761475E1,3.623444238E1
3.000000000E-1,1.888033295E1,-4.934157372E0,3.091040039E1,3.655496866E1
3.100000000E-1,1.963165283E1,-5.215182304E0,3.089959717E1,3.697816957E1
3.200000000E-1,1.811124420E1,-6.436721802E0,3.108053589E1,3.654378559E1
3.300000000E-1,1.736135101E1,-5.417622566E0,3.033587646E1,3.536993842E1
3.400000000E-1,1.661174011E1,-4.250905991E0,2.944009399E1,3.406962350E1
3.500000000E-1,1.722304535E1,-4.968071938E0,3.123812866E1,3.601577033E1
3.600000000E-1,1.872715759E1,-6.118361473E0,3.212161255E1,3.768207493E1
3.700000000E-1,1.782908630E1,-4.363361359E0,3.077426147E1,3.583253284E1
3.800000000E-1,1.874101257E1,-4.338100433E0,3.151123047E1,3.691886121E1
3.900000000E-1,1.874028015E1,-4.043980598E0,3.105871582E1,3.649925626E1
4.000000000E-1,1.797175598E1,-5.251317024E0,3.092666626E1,3.615271815E1
4.100000000E-1,1.662597656E1,-4.975661278E0,3.199969482E1,3.640275773E1
4.200000000E-1,1.872653961E1,-5.087276459E0,3.076324463E1,3.637225437E1
4.300000000E-1,1.796714783E1,-6.286840439E0,3.168365479E1,3.696209875E1
4.400000000E-1,1.783084106E1,-4.803985596E0,3.152822876E1,3.653828649E1
4.500000000E-1,1.842401123E1,-4.799725533E0,3.031564331E1,3.579832097E1
4.600000000E-1,1.842401123E1,-4.799725533E0,3.031564331E1,3.579832097E1
4.700000000E-1,1.842401123E1,-4.799725533E0,3.031564331E1,3.579832097E1
4.800000000E-1,1.842401123E1,-4.799725533E0,3.031564331E1,3.579832097E1
4.900000000E-1,1.842401123E1,-4.799725533E0,3.031564331E1,3.579832097E1
5.000000000E-1,1.709342957E1,-4.069016457E0,3.258920288E1,3.702429437E1
5.100000000E-1,1.720930481E1,-6.011366844E0,3.094271851E1,3.591306910E1
5.200000000E-1,1.614693451E1,-6.481646538E0,3.081182861E1,3.538508186E1
5.300000000E-1,1.872914886E1,-5.085056305E0,3.106396484E1,3.662797738E1
5.400000000E-1,1.708037567E1,-4.080116272E0,3.108575439E1,3.570309102E1
5.500000000E-1,1.796119690E1,-5.997161865E0,3.062969971E1,3.601040195E1
5.600000000E-1,1.798288727E1,-4.210241318E0,3.092141724E1,3.601727933E1
5.700000000E-1,1.720873260E1,-6.306595802E0,3.124490356E1,3.622371636E1
5.800000000E-1,1.781722260E1,-5.110317230E0,3.032699585E1,3.554286765E1
5.900000000E-1,1.964788818E1,-4.906632423E0,3.240155029E1,3.820961938E1
6.000000000E-1,1.798089600E1,-5.243546486E0,3.197906494E1,3.706032913E1
6.100000000E-1,1.721986389E1,-5.265522003E0,3.123965454E1,3.605780706E1
6.200000000E-1,1.812889099E1,-5.390096664E0,3.182702637E1,3.702255310E1
6.300000000E-1,1.676483917E1,-5.129981995E0,3.079522705E1,3.543617582E1
6.400000000E-1,1.676887512E1,-4.389686584E0,3.034045410E1,3.494292026E1
6.500000000E-1,1.859476471E1,-4.632176399E0,3.241726685E1,3.765768876E1
6.600000000E-1,1.919490814E1,-5.064102173E0,3.256002808E1,3.813456513E1
6.700000000E-1,1.857995605E1,-4.202651024E0,3.015985107E1,3.567202909E1
6.800000000E-1,1.781579590E1,-5.848391533E0,3.108245850E1,3.630048888E1
6.900000000E-1,1.842401123E1,-4.799725533E0,3.031564331E1,3.579832097E1
7.000000000E-1,1.873233032E1,-4.787605286E0,3.106246948E1,3.658822726E1
7.100000000E-1,1.810528564E1,-6.147042274E0,3.002661133E1,3.559754043E1
7.200000000E-1,1.841287994E1,-5.840801239E0,3.032089233E1,3.595143417E1
7.300000000E-1,1.766461945E1,-5.999291420E0,3.123602295E1,3.638295490E1
7.400000000E-1,1.856479645E1,-5.984022141E0,3.061987305E1,3.630477673E1
7.500000000E-1,1.842013550E1,-6.129370689E0,3.152514648E1,3.702303928E1
7.600000000E-1,1.859936523E1,-3.596651077E0,3.166030884E1,3.689508696E1
7.700000000E-1,1.828979492E1,-4.936197281E0,3.242370605E1,3.755235487E1
7.800000000E-1,1.737701416E1,-5.404302597E0,3.213998413E1,3.693434293E1
7.900000000E-1,1.826560974E1,-5.988371849E0,3.092550659E1,3.641263592E1
8.000000000E-1,1.737043762E1,-4.083536148E0,2.972772217E1,3.467196037E1
8.100000000E-1,1.767575073E1,-4.958216667E0,3.123077393E1,3.622674863E1
8.200000000E-1,1.706607056E1,-5.418642044E0,3.109252930E1,3.587976901E1
8.300000000E-1,1.691211700E1,-4.982411385E0,3.019067383E1,3.496170635E1
8.400000000E-1,1.769023132E1,-4.209040642E0,3.197872925E1,3.678721832E1
8.500000000E-1,1.721146393E1,-5.567411423E0,3.063977051E1,3.558126048E1
8.600000000E-1,1.676818848E1,-5.421881676E0,3.154846191E1,3.613688413E1
8.700000000E-1,1.812628174E1,-5.392316818E0,3.152630615E1,3.676339416E1
8.800000000E-1,1.798463440E1,-4.650865555E0,3.167538452E1,3.672067006E1
8.900000000E-1,1.841027069E1,-5.843021393E0,3.002020264E1,3.569722023E1
9.000000000E-1,1.768228149E1,-4.952666283E0,3.198248291E1,3.687914309E1
9.100000000E-1,1.809676361E1,-7.185897827E0,3.033258057E1,3.604435357E1
9.200000000E-1,1.933103943E1,-5.957606316E0,3.196069336E1,3.782417320E1
9.300000000E-1,1.948422241E1,-4.773401260E0,3.074945068E1,3.671442496E1
9.400000000E-1,1.736843872E1,-5.116842270E0,3.078540039E1,3.571534146E1
9.500000000E-1,1.799202728E1,-4.202470779E0,3.197381592E1,3.692829147E1
9.600000000E-1,1.874101257E1,-4.338100433E0,3.151123047E1,3.691886121E1
9.700000000E-1,1.722043610E1,-4.970292091E0,3.093746948E1,3.575435975E1
9.800000000E-1,1.810585785E1,-5.851811409E0,2.972442627E1,3.529316226E1
9.900000000E-1,1.842013550E1,-6.129370689E0,3.152514648E1,3.702303928E1
1.000000000E0,1.812412262E1,-5.836271286E0,3.182928467E1,3.708974583E1
1.010000000E0,1.812151337E1,-5.838491440E0,3.152856445E1,3.683106848E1
1.020000000E0,1.782231903E1,-5.842841148E0,3.183419800E1,3.694847778E1
1.030000000E0,1.812094116E1,-6.133721352E0,3.183078003E1,3.713744207E1
1.040000000E0,1.722059631E1,-5.559640884E0,3.169219971E1,3.649457585E1
1.050000000E0,1.797811127E1,-4.656415939E0,3.092367554E1,3.607171195E1
1.060000000E0,1.872262573E1,-5.090606689E0,3.031222534E1,3.599002634E1
1.070000000E0,1.841679382E1,-5.837471008E0,3.077191162E1,3.633407364E1
1.080000000E0,1.679090118E1,-3.781467438E0,3.214160156E1,3.645979168E1
1.090000000E0,1.737496185E1,-5.111291885E0,3.153710938E1,3.636762120E1
1.100000000E0,1.858823395E1,-4.637725830E0,3.166555786E1,3.700997834E1
1.110000000E0,1.677539825E1,-4.384136200E0,3.109219360E1,3.559998792E1
1.120000000E0,1.690750885E1,-6.017936707E0,3.094763184E1,3.577478629E1
1.130000000E0,1.796914673E1,-5.253537178E0,3.062594604E1,3.589482495E1
1.140000000E0,1.721391296E1,-4.975841522E0,3.018572998E1,3.510350542E1
1.150000000E0,1.704955292E1,-5.874806404E0,2.974166870E1,3.478171160E1
1.160000000E0,1.737701416E1,-5.404302597E0,3.213998413E1,3.693434293E1
1.170000000E0,1.840969849E1,-6.138251305E0,3.032238770E1,3.600058781E1
1.180000000E0,1.767115021E1,-5.993741035E0,3.198773193E1,3.703254617E1
