"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.304016876E1,-8.457025528E0,4.529583740E1,5.151779832E1
1.000000000E-2,2.453701782E1,-9.318746567E0,4.497503662E1,5.207358448E1
2.000000000E-2,2.332949066E1,-8.166326523E0,4.348526001E1,5.001921492E1
3.000000000E-2,2.427244568E1,-8.262042046E0,4.798159790E1,5.440263500E1
4.000000000E-2,2.347174835E1,-9.938861847E0,4.469458008E1,5.145201098E1
5.000000000E-2,2.407563782E1,-9.778106689E0,4.453366089E1,5.156059211E1
6.000000000E-2,2.364303589E1,-8.149766922E0,4.483346558E1,5.133664853E1
7.000000000E-2,2.364519501E1,-7.705811501E0,4.453054810E1,5.100435757E1
8.000000000E-2,2.409907532E1,-8.431811333E0,4.557931519E1,5.224303634E1
9.000000000E-2,2.408994293E1,-8.439580917E0,4.452691650E1,5.132444028E1
1.000000000E-1,2.332765961E1,-9.788982391E0,4.529766846E1,5.188335616E1
1.100000000E-1,2.394194031E1,-8.293031693E0,4.467895508E1,5.136341020E1
1.200000000E-1,2.452225494E1,-1.021553612E1,4.437817383E1,5.172156686E1
1.300000000E-1,2.421971893E1,-9.927987099E0,4.393057251E1,5.113760763E1
1.400000000E-1,2.349201202E1,-8.890016556E0,4.574172974E1,5.218441206E1
1.500000000E-1,2.469615173E1,-8.424221039E0,4.481774902E1,5.186037059E1
1.600000000E-1,2.317455292E1,-8.909906387E0,4.394253540E1,5.047170249E1
1.700000000E-1,2.482014465E1,-1.021229744E1,4.392221069E1,5.147320849E1
1.800000000E-1,2.333544922E1,-8.456006050E0,4.453921509E1,5.098812518E1
1.900000000E-1,2.482723999E1,-9.911516190E0,4.437176514E1,5.180235072E1
2.000000000E-1,2.333209991E1,-8.164106369E0,4.378598022E1,5.028172216E1
2.100000000E-1,2.349979401E1,-7.557042599E0,4.498327637E1,5.131124988E1
2.200000000E-1,2.560057831E1,-9.584321976E0,4.616207886E1,5.364873122E1
2.300000000E-1,2.300962830E1,-1.010410118E1,4.380065918E1,5.049785738E1
2.400000000E-1,2.438538361E1,-9.027912140E0,4.452499390E1,5.156185812E1
2.500000000E-1,2.316081238E1,-9.953201294E0,4.364709473E1,5.040395147E1
2.600000000E-1,2.331517792E1,-9.504852295E0,4.349203491E1,5.025432160E1
2.700000000E-1,2.409590149E1,-8.729261398E0,4.558081055E1,5.229170836E1
2.800000000E-1,2.211365509E1,-9.968427658E0,4.471673584E1,5.087209211E1
2.900000000E-1,2.452661896E1,-1.065394115E1,4.543283081E1,5.271815261E1
