"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,8.559745789E0,1.432559204E1,5.248687744E1,5.507598514E1
1.000000000E-2,6.755760193E0,1.443933487E1,5.311703491E1,5.545767832E1
2.000000000E-2,9.010414124E0,1.462845421E1,5.187661743E1,5.464762274E1
3.000000000E-2,7.521392822E0,1.549683762E1,5.309948730E1,5.582364085E1
4.000000000E-2,8.274421692E0,1.610150146E1,5.218212891E1,5.523313300E1
5.000000000E-2,7.665473938E0,1.534695435E1,5.249639893E1,5.522825725E1
6.000000000E-2,7.515602112E0,1.519716263E1,5.280032349E1,5.545549736E1
7.000000000E-2,8.106155396E0,1.519919968E1,5.128701782E1,5.410252881E1
8.000000000E-2,8.559745789E0,1.432559204E1,5.248687744E1,5.507598514E1
9.000000000E-2,7.367027283E0,1.504848862E1,5.325454712E1,5.582810125E1
1.000000000E-1,8.260688782E0,1.505820847E1,5.188665771E1,5.465541026E1
1.100000000E-1,7.956718445E0,1.460767937E1,5.219454956E1,5.478106122E1
1.200000000E-1,9.006500244E0,1.462512398E1,5.142559814E1,5.421810991E1
1.300000000E-1,8.417816162E0,1.491942596E1,5.278704834E1,5.549703931E1
1.400000000E-1,9.030677795E0,1.567729950E1,5.292379761E1,5.593084314E1
1.500000000E-1,8.405952454E0,1.417246819E1,5.233975220E1,5.487229311E1
1.600000000E-1,7.491592407E0,1.355564117E1,5.205682373E1,5.431199003E1
1.700000000E-1,8.872970581E0,1.552085114E1,5.232562256E1,5.529554415E1
1.800000000E-1,6.603393555E0,1.502429199E1,5.221444702E1,5.473282958E1
1.900000000E-1,8.113250732E0,1.549998474E1,5.173654175E1,5.461450463E1
2.000000000E-1,7.816665649E0,1.549785614E1,5.234283447E1,5.514577162E1
2.100000000E-1,8.560317993E0,1.462081909E1,5.218469238E1,5.486610533E1
2.200000000E-1,6.911544800E0,1.562575912E1,5.220651245E1,5.493135482E1
2.300000000E-1,9.182716370E0,1.627104568E1,5.231695557E1,5.555297514E1
2.400000000E-1,8.853439331E0,1.417788315E1,5.173098755E1,5.436442616E1
2.500000000E-1,7.071296692E0,1.548919868E1,5.340756226E1,5.605609886E1
2.600000000E-1,7.521392822E0,1.549683762E1,5.309948730E1,5.582364085E1
2.700000000E-1,7.964103699E0,1.505607605E1,5.249298096E1,5.518718532E1
2.800000000E-1,6.766891479E0,1.548041153E1,5.311178589E1,5.573415256E1
2.900000000E-1,9.470779419E0,1.523431778E1,5.201660156E1,5.502278564E1
3.000000000E-1,9.001281738E0,1.462068367E1,5.082421875E1,5.364595675E1
3.100000000E-1,7.972381592E0,1.462099838E1,5.399868774E1,5.650832452E1
3.200000000E-1,7.965850830E0,1.461544991E1,5.324694824E1,5.578802427E1
3.300000000E-1,7.673835754E0,1.697516251E1,5.143572998E1,5.470537648E1
3.400000000E-1,9.008491516E0,1.565842819E1,5.036791992E1,5.350950056E1
3.500000000E-1,6.769500732E0,1.548262978E1,5.341247559E1,5.602169681E1
3.600000000E-1,6.740837097E0,1.413189316E1,5.176544189E1,5.408151499E1
3.700000000E-1,7.047851562E0,1.414290428E1,5.236190796E1,5.469427171E1
3.800000000E-1,7.506469727E0,1.518939209E1,5.174786377E1,5.445095155E1
3.900000000E-1,8.577972412E0,1.566744614E1,5.293118286E1,5.586376821E1
4.000000000E-1,8.254776001E0,1.402157021E1,5.249331665E1,5.495720199E1
4.100000000E-1,7.360504150E0,1.504293823E1,5.250280762E1,5.510909017E1
4.200000000E-1,6.911712646E0,1.503641129E1,5.296124268E1,5.548656289E1
4.300000000E-1,9.017791748E0,1.507685089E1,5.217507935E1,5.505334600E1
4.400000000E-1,8.112678528E0,1.520475006E1,5.203875732E1,5.481817437E1
4.500000000E-1,8.112678528E0,1.520475006E1,5.203875732E1,5.481817437E1
4.600000000E-1,8.112678528E0,1.520475006E1,5.203875732E1,5.481817437E1
4.700000000E-1,8.112678528E0,1.520475006E1,5.203875732E1,5.481817437E1
4.800000000E-1,8.112678528E0,1.520475006E1,5.203875732E1,5.481817437E1
4.900000000E-1,8.258522034E0,1.461424828E1,5.218963623E1,5.482278330E1
5.000000000E-1,8.107498169E0,1.387400246E1,5.309790039E1,5.547617954E1
5.100000000E-1,7.376739502E0,1.535148430E1,5.400476074E1,5.662683585E1
5.200000000E-1,7.802925110E0,1.445455933E1,5.204742432E1,5.457796537E1
5.300000000E-1,9.020973206E0,1.537429810E1,5.217358398E1,5.513465213E1
5.400000000E-1,7.665473938E0,1.534695435E1,5.249639893E1,5.522825725E1
5.500000000E-1,7.047851562E0,1.414290428E1,5.236190796E1,5.469427171E1
5.600000000E-1,7.967277527E0,1.535352325E1,5.249148560E1,5.526811239E1
5.700000000E-1,8.432128906E0,1.625795364E1,5.278030396E1,5.586754281E1
5.800000000E-1,7.956153870E0,1.431245232E1,5.249673462E1,5.499139770E1
5.900000000E-1,7.667968750E0,1.461220741E1,5.370291138E1,5.618110929E1
6.000000000E-1,7.504470825E0,1.415608978E1,5.280557251E1,5.518279123E1
6.100000000E-1,8.120391846E0,1.447444916E1,5.384661865E1,5.634632892E1
6.200000000E-1,8.122383118E0,1.550775528E1,5.278897095E1,5.561599622E1
6.300000000E-1,7.645950317E0,1.400399017E1,5.190176392E1,5.429885261E1
6.400000000E-1,7.503738403E0,1.445021057E1,5.235302734E1,5.482658249E1
6.500000000E-1,7.653732300E0,1.533696365E1,5.114328003E1,5.393919877E1
6.600000000E-1,7.657081604E0,1.504506683E1,5.189651489E1,5.457319115E1
6.700000000E-1,8.886024475E0,1.553195000E1,5.382907104E1,5.672540693E1
