"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.377482605E1,-3.321745872E0,5.413085938E1,5.921508495E1
1.000000000E-2,2.228853607E1,-1.714181900E0,5.474856567E1,5.913647523E1
2.000000000E-2,2.317655945E1,-2.593480110E0,5.383624268E1,5.867043610E1
3.000000000E-2,2.225379181E1,-3.512202263E0,5.295346069E1,5.754681411E1
4.000000000E-2,2.331922913E1,-3.481436729E0,5.398861694E1,5.891245716E1
5.000000000E-2,2.316804504E1,-3.632335663E0,5.414221191E1,5.900280743E1
6.000000000E-2,2.333354187E1,-2.142910957E0,5.398187256E1,5.884801448E1
7.000000000E-2,2.377698517E1,-2.877791405E0,5.382791138E1,5.891579373E1
8.000000000E-2,2.345871735E1,-4.666841507E0,5.414254761E1,5.919042398E1
9.000000000E-2,2.439261627E1,-2.707046509E0,5.502008057E1,6.024563963E1
1.000000000E-1,2.288072205E1,-2.889732361E0,5.489511108E1,5.954285193E1
1.100000000E-1,2.467096329E1,-4.046771049E0,5.396948242E1,5.947888548E1
1.200000000E-1,2.213330841E1,-2.605375290E0,5.535693359E1,5.967462961E1
1.300000000E-1,2.301498413E1,-4.079576492E0,5.444760132E1,5.925262634E1
1.400000000E-1,2.181528473E1,-2.920496941E0,5.385989380E1,5.818353814E1
1.500000000E-1,2.363925171E1,-2.133011818E0,5.442800903E1,5.937821257E1
1.600000000E-1,2.301090240E1,-3.493556976E0,5.324182129E1,5.810678191E1
1.700000000E-1,2.331066132E1,-3.193976402E0,5.263406372E1,5.765356086E1
1.800000000E-1,2.256717682E1,-2.906291962E0,5.354690552E1,5.818071066E1
1.900000000E-1,2.345736694E1,-3.341635704E0,5.233163452E1,5.744575324E1
2.000000000E-1,2.378277588E1,-2.578120232E0,5.412713623E1,5.917781687E1
2.100000000E-1,2.225061035E1,-3.809651375E0,5.295495605E1,5.756587944E1
2.200000000E-1,2.227740479E1,-2.755256653E0,5.475381470E1,5.917646852E1
2.300000000E-1,2.407254028E1,-2.729156494E0,5.292016602E1,5.820205720E1
2.400000000E-1,2.346666718E1,-3.923215866E0,5.413879395E1,5.913615731E1
2.500000000E-1,2.345553589E1,-4.964291573E0,5.414404297E1,5.921472573E1
2.600000000E-1,2.287158203E1,-2.897501945E0,5.384268188E1,5.857080480E1
2.700000000E-1,2.195198822E1,-3.518772125E0,5.295837402E1,5.743571122E1
