"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.982964325E1,-9.718091965E0,2.445233154E1,3.294802848E1
1.000000000E-2,1.817643738E1,-1.033802605E1,2.598583984E1,3.335448292E1
2.000000000E-2,1.907167816E1,-1.017958164E1,2.461721802E1,3.276217656E1
3.000000000E-2,1.803502655E1,-8.122646332E0,2.432327271E1,3.135061660E1
4.000000000E-2,1.906849670E1,-1.047703171E1,2.461871338E1,3.285508801E1
5.000000000E-2,1.833148956E1,-8.857481003E0,2.462277222E1,3.194963835E1
6.000000000E-2,1.725492096E1,-9.929321289E0,2.359283447E1,3.086981628E1
7.000000000E-2,1.784910583E1,-1.007156754E1,2.268170166E1,3.056937425E1
8.000000000E-2,1.771022797E1,-9.917246819E0,2.388613892E1,3.134567899E1
9.000000000E-2,1.832093048E1,-9.603326797E0,2.432583618E1,3.193159384E1
1.000000000E-1,1.937029266E1,-1.047046185E1,2.461380005E1,3.302541388E1
1.100000000E-1,1.861636353E1,-1.019165707E1,2.432394409E1,3.228146714E1
1.200000000E-1,1.712331390E1,-1.006357193E1,2.600155640E1,3.271947882E1
1.300000000E-1,1.801594543E1,-9.907346725E0,2.433227539E1,3.185575984E1
1.400000000E-1,1.937029266E1,-1.047046185E1,2.461380005E1,3.302541388E1
1.500000000E-1,1.862749481E1,-9.150581360E0,2.431866455E1,3.197051998E1
1.600000000E-1,1.771096039E1,-1.021136665E1,2.433868408E1,3.178555756E1
1.700000000E-1,1.860926819E1,-1.049243736E1,2.387438965E1,3.203720627E1
1.800000000E-1,1.921707153E1,-1.032835102E1,2.416448975E1,3.255600156E1
1.900000000E-1,1.785881042E1,-9.768568039E0,2.343191528E1,3.103895432E1
2.000000000E-1,1.816713715E1,-9.756446838E0,2.417871094E1,3.177802998E1
2.100000000E-1,1.863010406E1,-9.148361206E0,2.461935425E1,3.220071263E1
2.200000000E-1,1.787389374E1,-1.005047798E1,2.553820801E1,3.275191984E1
2.300000000E-1,1.921054840E1,-1.033390141E1,2.341278076E1,3.199989049E1
2.400000000E-1,1.803302765E1,-9.155951500E0,2.538092041E1,3.245323797E1
2.500000000E-1,1.711083221E1,-9.779441833E0,2.419595337E1,3.120676563E1
2.600000000E-1,1.876164246E1,-1.107739258E1,2.477697754E1,3.299403688E1
2.700000000E-1,1.831122589E1,-9.906326294E0,2.357562256E1,3.145228566E1
2.800000000E-1,1.665409851E1,-1.052959251E1,2.465808105E1,3.156346427E1
2.900000000E-1,1.908656311E1,-8.545827866E0,2.430828857E1,3.206588465E1
3.000000000E-1,1.785505676E1,-1.036124611E1,2.373559570E1,3.145690666E1
3.100000000E-1,1.935439301E1,-1.195771217E1,2.462130737E1,3.352295014E1
3.200000000E-1,1.711544037E1,-8.743916512E0,2.343896484E1,3.031137489E1
3.300000000E-1,1.875527954E1,-1.167229176E1,2.477999878E1,3.319715718E1
3.400000000E-1,1.937942505E1,-1.046269226E1,2.566622925E1,3.381989604E1
3.500000000E-1,1.682220459E1,-9.037946701E0,2.479846191E1,3.129911758E1
3.600000000E-1,1.712473297E1,-9.325497627E0,2.524609375E1,3.189963377E1
3.700000000E-1,1.801537323E1,-1.020257664E1,2.463446045E1,3.217923064E1
3.800000000E-1,1.816077423E1,-1.035134602E1,2.418173218E1,3.196435915E1
3.900000000E-1,1.801260376E1,-9.615446091E0,2.357904053E1,3.119105400E1
4.000000000E-1,1.877526855E1,-1.077106190E1,2.597827148E1,3.381415492E1
4.100000000E-1,1.816513824E1,-1.078975201E1,2.523635864E1,3.291298822E1
4.200000000E-1,1.771691895E1,-1.050104713E1,2.539257812E1,3.269471259E1
4.300000000E-1,1.801928711E1,-1.019924641E1,2.508547974E1,3.252692160E1
4.400000000E-1,1.846893311E1,-9.749876976E0,2.417379761E1,3.194579913E1
4.500000000E-1,1.695964050E1,-9.930341721E0,2.434948730E1,3.129119085E1
4.600000000E-1,1.934741974E1,-1.152152634E1,2.326596069E1,3.237859087E1
4.700000000E-1,1.833801270E1,-8.851930618E0,2.537451172E1,3.253467735E1
