"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.840529633E1,-1.908847237E1,2.843069458E1,3.887710257E1
1.000000000E-2,1.901293945E1,-1.833503723E1,2.796609497E1,3.846775175E1
2.000000000E-2,1.750348663E1,-1.792615128E1,2.738705444E1,3.711832021E1
3.000000000E-2,1.916815186E1,-1.744384193E1,2.735772705E1,3.768488950E1
4.000000000E-2,1.811621857E1,-1.790524292E1,2.842962646E1,3.817117709E1
5.000000000E-2,1.765886688E1,-1.762430763E1,2.753341675E1,3.715562995E1
6.000000000E-2,1.840268707E1,-1.909069252E1,2.813000488E1,3.865760736E1
7.000000000E-2,1.795272064E1,-1.836136246E1,2.753225708E1,3.764923624E1
8.000000000E-2,1.946257782E1,-1.788566780E1,2.705435181E1,3.782363018E1
9.000000000E-2,1.871602631E1,-1.715846634E1,2.706289673E1,3.710933827E1
1.000000000E-1,1.868548584E1,-1.880554199E1,2.556771851E1,3.683074830E1
1.100000000E-1,1.778922272E1,-1.881748199E1,2.663491821E1,3.714798705E1
1.200000000E-1,1.856166077E1,-1.760681725E1,2.721798706E1,3.735443861E1
1.300000000E-1,1.705152130E1,-1.823012733E1,2.784695435E1,3.739712272E1
1.400000000E-1,1.839616394E1,-1.909624290E1,2.737829590E1,3.811373017E1
1.500000000E-1,1.929810333E1,-1.952159691E1,2.751611328E1,3.886703009E1
1.600000000E-1,1.931877136E1,-1.758817291E1,2.750637817E1,3.793625698E1
1.700000000E-1,1.795288849E1,-1.895071220E1,2.828698730E1,3.849141916E1
1.800000000E-1,1.854417419E1,-1.924279213E1,2.722622681E1,3.815021457E1
1.900000000E-1,1.852272034E1,-1.955578232E1,2.512289429E1,3.683313193E1
2.000000000E-1,1.900657654E1,-1.892993736E1,2.796908569E1,3.875386735E1
2.100000000E-1,1.959770203E1,-1.863266754E1,2.615359497E1,3.761989838E1
2.200000000E-1,1.857136536E1,-1.730381775E1,2.796823120E1,3.776956018E1
2.300000000E-1,1.932330322E1,-1.861592674E1,2.931573486E1,3.974110072E1
2.400000000E-1,1.657668304E1,-1.958516693E1,2.695901489E1,3.721765265E1
