"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.327280426E1,-4.781560898E0,2.784265137E1,3.121288024E1
1.000000000E-2,1.313610077E1,-4.183286667E0,2.874420166E1,3.187924340E1
2.000000000E-2,1.160321045E1,-5.120697021E0,2.711947632E1,2.993863769E1
3.000000000E-2,1.207588196E1,-4.209610939E0,2.831039429E1,3.106487042E1
4.000000000E-2,1.220346832E1,-4.815655708E0,2.635641479E1,2.944105602E1
5.000000000E-2,1.268862152E1,-4.188700676E0,2.935293579E1,3.225121965E1
6.000000000E-2,1.281501770E1,-4.058891296E0,2.634283447E1,2.957438428E1
7.000000000E-2,1.176812744E1,-3.926502228E0,2.726141357E1,2.995147598E1
8.000000000E-2,1.266439819E1,-3.914561272E0,2.619421387E1,2.935724121E1
9.000000000E-2,1.056064606E1,-4.100396156E0,2.743215942E1,2.967935081E1
1.000000000E-1,1.220362854E1,-5.405007362E0,2.711114502E1,3.021848504E1
1.100000000E-1,1.189905548E1,-4.824445724E0,2.606066895E1,2.905204405E1
1.200000000E-1,1.191931915E1,-3.775601387E0,2.710781860E1,2.985228910E1
1.300000000E-1,1.177783203E1,-3.623501778E0,2.801162720E1,3.060226055E1
1.400000000E-1,1.327280426E1,-4.781560898E0,2.784265137E1,3.121288024E1
1.500000000E-1,1.056859589E1,-3.356771469E0,2.742840576E1,2.958514114E1
1.600000000E-1,1.070722961E1,-4.985020638E0,2.803558350E1,3.042185298E1
1.700000000E-1,1.159407806E1,-5.128466606E0,2.606707764E1,2.898648569E1
1.800000000E-1,1.219653320E1,-5.705786705E0,2.666162109E1,2.986893810E1
1.900000000E-1,1.237189484E1,-4.502710342E0,2.800628662E1,3.094657126E1
2.000000000E-1,1.263896179E1,-6.294160843E0,2.620620728E1,2.976785373E1
2.100000000E-1,1.175325012E1,-5.560256958E0,2.757034302E1,3.048244019E1
2.200000000E-1,1.221794128E1,-4.066481590E0,2.710440063E1,3.000771393E1
2.300000000E-1,1.265604401E1,-5.542766571E0,2.725488281E1,3.055693617E1
2.400000000E-1,1.130373383E1,-5.272661209E0,2.757620239E1,3.026586019E1
2.500000000E-1,1.132337952E1,-3.192730904E0,2.726504517E1,2.969503565E1
2.600000000E-1,1.115368652E1,-4.833101273E0,2.712536621E1,2.972455354E1
2.700000000E-1,1.129794312E1,-5.572331429E0,2.727703857E1,3.004548601E1
2.800000000E-1,1.161116028E1,-4.377071381E0,2.711575317E1,2.982015874E1
2.900000000E-1,1.190427399E1,-4.820006371E0,2.666204834E1,2.959407073E1
3.000000000E-1,1.116481781E1,-3.792026520E0,2.712011719E1,2.957251051E1
3.100000000E-1,1.343064117E1,-3.888146400E0,2.753500366E1,3.088164878E1
3.200000000E-1,1.312566376E1,-4.192166328E0,2.754144287E1,3.079591504E1
3.300000000E-1,1.312105560E1,-5.227691650E0,2.829840088E1,3.162736714E1
3.400000000E-1,1.236186218E1,-3.627011299E0,2.574661255E1,2.878990978E1
3.500000000E-1,1.221720886E1,-3.772361755E0,2.665188599E1,2.956034391E1
3.600000000E-1,1.356752014E1,-5.075772285E0,2.738821411E1,3.098314605E1
3.700000000E-1,1.373444366E1,-2.848271370E0,2.647244263E1,2.995893542E1
3.800000000E-1,1.072487640E1,-3.938397408E0,2.878207397E1,3.096678431E1
3.900000000E-1,1.190761566E1,-5.111907005E0,2.741528320E1,3.032359901E1
4.000000000E-1,1.177868652E1,-3.180656433E0,2.755831909E1,3.013826443E1
4.100000000E-1,1.282749176E1,-4.343021393E0,2.814849854E1,3.123690685E1
4.200000000E-1,1.264157104E1,-6.291940689E0,2.650692749E1,3.003356524E1
4.300000000E-1,1.190761566E1,-5.111907005E0,2.741528320E1,3.032359901E1
4.400000000E-1,1.130764771E1,-5.269330978E0,2.802725220E1,3.067825959E1
4.500000000E-1,1.161360931E1,-3.785501480E0,2.666171265E1,2.932665791E1
4.600000000E-1,1.202940369E1,-6.017621994E0,2.516213989E1,2.853158971E1
4.700000000E-1,1.251137543E1,-5.688116074E0,2.816015625E1,3.133502161E1
4.800000000E-1,1.358182526E1,-3.737246513E0,2.738146973E1,3.079249703E1
4.900000000E-1,1.132337952E1,-3.192730904E0,2.726504517E1,2.969503565E1
5.000000000E-1,1.084161377E1,-5.437902451E0,2.668228149E1,2.930964889E1
5.100000000E-1,1.176233673E1,-4.226171494E0,2.696218872E1,2.971822188E1
5.200000000E-1,1.235289001E1,-4.224130630E0,2.544891357E1,2.860217428E1
5.300000000E-1,1.205896759E1,-5.550356865E0,2.801644897E1,3.100236400E1
5.400000000E-1,1.250224304E1,-5.695886612E0,2.710772705E1,3.039042730E1
5.500000000E-1,1.358573914E1,-3.733916283E0,2.783248901E1,3.119554268E1
5.600000000E-1,1.357938385E1,-4.328816414E0,2.783547974E1,3.127222809E1
5.700000000E-1,1.235163879E1,-5.551556587E0,2.695910645E1,3.016912630E1
5.800000000E-1,1.203201294E1,-6.015401840E0,2.546282959E1,2.879774445E1
5.900000000E-1,1.203201294E1,-6.015401840E0,2.546282959E1,2.879774445E1
6.000000000E-1,1.203201294E1,-6.015401840E0,2.546282959E1,2.879774445E1
6.100000000E-1,1.203201294E1,-6.015401840E0,2.546282959E1,2.879774445E1
6.200000000E-1,1.221333313E1,-5.102006912E0,2.786138916E1,3.084563156E1
6.300000000E-1,1.236798096E1,-4.506040573E0,2.755523682E1,3.053788517E1
6.400000000E-1,1.130255127E1,-4.536805153E0,2.652005005E1,2.918292858E1
6.500000000E-1,1.236321259E1,-4.952215195E0,2.755749512E1,3.060700897E1
6.600000000E-1,1.234294891E1,-6.001060486E0,2.651034546E1,2.985229524E1
6.700000000E-1,1.220488739E1,-4.077581406E0,2.560095215E1,2.865300503E1
6.800000000E-1,1.070070648E1,-4.990571022E0,2.728387451E1,2.972912254E1
6.900000000E-1,1.356172943E1,-5.375442505E0,2.708901978E1,3.076736712E1
7.000000000E-1,1.206658936E1,-3.628031731E0,2.650326538E1,2.934600942E1
7.100000000E-1,1.311074066E1,-4.499606133E0,2.618981934E1,2.963181758E1
7.200000000E-1,1.099989319E1,-4.986221313E0,2.697824097E1,2.955817212E1
7.300000000E-1,1.222128296E1,-4.358381271E0,2.785763550E1,3.073114219E1
7.400000000E-1,1.235799408E1,-4.956655502E0,2.695611572E1,3.006527276E1
7.500000000E-1,1.162347412E1,-4.071850777E0,2.816668701E1,3.074162287E1
7.600000000E-1,1.069952393E1,-4.254715919E0,2.622769165E1,2.864392133E1
7.700000000E-1,1.236839294E1,-3.621460915E0,2.649832153E1,2.946613594E1
7.800000000E-1,1.205823517E1,-5.256237030E0,2.756390381E1,3.054173957E1
7.900000000E-1,1.372665405E1,-4.181245804E0,2.723092651E1,3.078030550E1
8.000000000E-1,1.220362854E1,-5.405007362E0,2.711114502E1,3.021848504E1
8.100000000E-1,1.237116241E1,-4.208590508E0,2.755374146E1,3.049535312E1
8.200000000E-1,1.189472961E1,-5.712356567E0,2.666656494E1,2.975266872E1
8.300000000E-1,1.312639618E1,-4.486286163E0,2.799398804E1,3.124247760E1
8.400000000E-1,1.221084595E1,-4.367261887E0,2.665487671E1,2.964220281E1
8.500000000E-1,1.343080139E1,-4.477495193E0,2.828973389E1,3.163452912E1
8.600000000E-1,1.280848694E1,-4.064441681E0,2.559112549E1,2.890471809E1
8.700000000E-1,1.190166473E1,-4.822225571E0,2.636135864E1,2.932276782E1
8.800000000E-1,1.206340790E1,-3.925481796E0,2.650476074E1,2.938430805E1
8.900000000E-1,1.281040955E1,-5.094417572E0,2.709982300E1,3.040493528E1
9.000000000E-1,1.222128296E1,-4.358381271E0,2.785763550E1,3.073114219E1
9.100000000E-1,1.237825775E1,-3.907811165E0,2.800329590E1,3.086546345E1
9.200000000E-1,1.237173462E1,-3.913361549E0,2.725155640E1,3.018313340E1
9.300000000E-1,1.083957672E1,-5.144891739E0,2.607937622E1,2.870714543E1
9.400000000E-1,1.357546997E1,-4.332146645E0,2.738446045E1,3.087020495E1
9.500000000E-1,1.175121307E1,-5.267247200E0,2.696743774E1,2.988440396E1
9.600000000E-1,1.100074768E1,-4.543375969E0,2.652496338E1,2.907288078E1
9.700000000E-1,1.249947357E1,-5.108757019E0,2.605233765E1,2.934383299E1
9.800000000E-1,1.114137268E1,-5.138321877E0,2.607446289E1,2.881683799E1
9.900000000E-1,1.054372406E1,-5.441142082E0,2.713821411E1,2.961855515E1
1.000000000E0,1.191732025E1,-4.808905602E0,2.816549683E1,3.095873554E1
1.010000000E0,1.279275513E1,-6.141041756E0,2.635333252E1,2.993100587E1
1.020000000E0,1.252568817E1,-4.349591255E0,2.815341187E1,3.111955025E1
1.030000000E0,1.159986877E1,-4.828795433E0,2.636627197E1,2.920709706E1
1.040000000E0,1.237116241E1,-4.208590508E0,2.755374146E1,3.049535312E1
1.050000000E0,1.115368652E1,-4.833101273E0,2.712536621E1,2.972455354E1
1.060000000E0,1.177725983E1,-3.918731689E0,2.831381226E1,3.091491989E1
1.070000000E0,1.221794128E1,-4.066481590E0,2.710440063E1,3.000771393E1
1.080000000E0,1.251439667E1,-4.801316261E0,2.740393066E1,3.050636290E1
1.090000000E0,1.221736908E1,-4.361711502E0,2.740661621E1,3.032179491E1
1.100000000E0,1.251655579E1,-4.357361794E0,2.710098267E1,3.016809626E1
1.110000000E0,1.340401459E1,-5.531890869E0,2.649087524E1,3.019993203E1
1.120000000E0,1.221475983E1,-4.363931656E0,2.710589600E1,3.004952337E1
1.130000000E0,1.237046814E1,-5.240786552E0,2.876174927E1,3.174480346E1
1.140000000E0,1.251899719E1,-3.765791893E0,2.664697266E1,2.968109889E1
1.150000000E0,1.236855316E1,-4.210810661E0,2.725305176E1,3.022318421E1
1.160000000E0,1.252552032E1,-3.760241508E0,2.739868164E1,3.035977324E1
1.170000000E0,1.236973572E1,-4.946664810E0,2.830920410E1,3.128723208E1
1.180000000E0,1.387466431E1,-4.327796936E0,2.707882690E1,3.073270249E1
1.190000000E0,1.266064453E1,-4.507240295E0,2.649792480E1,2.971106114E1
1.200000000E0,1.161695099E1,-4.077401161E0,2.741494751E1,3.005258886E1
1.210000000E0,1.236798096E1,-4.506040573E0,2.755523682E1,3.053788517E1
1.220000000E0,1.160839081E1,-3.789940834E0,2.606033325E1,2.877949544E1
1.230000000E0,1.222707367E1,-4.058711052E0,2.815682983E1,3.096419759E1
1.240000000E0,1.311726379E1,-4.494056702E0,2.694155884E1,3.030027636E1
1.250000000E0,1.205879974E1,-4.961006165E0,2.726171875E1,3.021965491E1
1.260000000E0,1.160463715E1,-4.382620811E0,2.636401367E1,2.913650949E1
1.270000000E0,1.238103485E1,-4.494940758E0,2.905868530E1,3.190457190E1
1.280000000E0,1.115193176E1,-4.392476082E0,2.637139893E1,2.896739735E1
1.290000000E0,1.372722626E1,-3.886016846E0,2.692871094E1,3.047447031E1
1.300000000E0,1.250208282E1,-5.106536865E0,2.635299683E1,2.961180905E1
1.310000000E0,1.130907440E1,-4.531255722E0,2.727178955E1,2.986934796E1
1.320000000E0,1.163008118E1,-2.003022194E0,2.635202026E1,2.887386116E1
1.330000000E0,1.237116241E1,-4.208590508E0,2.755374146E1,3.049535312E1
1.340000000E0,1.160002899E1,-5.418147087E0,2.712100220E1,2.999109452E1
1.350000000E0,1.100511169E1,-4.981781006E0,2.757962036E1,3.010923587E1
1.360000000E0,1.085189056E1,-4.839671135E0,2.713027954E1,2.961820409E1
1.370000000E0,1.267948151E1,-4.196470261E0,2.830053711E1,3.129376958E1
1.380000000E0,1.326192474E1,-4.348706245E0,2.603628540E1,2.954112475E1
1.390000000E0,1.310540009E1,-5.241011620E0,2.649429321E1,3.001944848E1
1.400000000E0,1.206674957E1,-4.217381477E0,2.725799561E1,3.010632950E1
1.410000000E0,1.235231781E1,-4.519360542E0,2.575109863E1,2.891579941E1
1.420000000E0,1.174411774E1,-5.568026543E0,2.651791382E1,2.953179599E1
1.430000000E0,1.176177216E1,-4.521401405E0,2.726440430E1,3.003548063E1
1.440000000E0,1.251916504E1,-4.355141640E0,2.740170288E1,3.043928502E1
1.450000000E0,1.206398010E1,-3.630251884E0,2.620254517E1,2.907390097E1
1.460000000E0,1.130764771E1,-5.269330978E0,2.802725220E1,3.067825959E1
1.470000000E0,1.116224670E1,-5.120562553E0,2.847998047E1,3.101491899E1
1.480000000E0,1.281819153E1,-3.761441231E0,2.634133911E1,2.953507441E1
1.490000000E0,1.326571655E1,-5.082342148E0,2.739312744E1,3.085762253E1
1.500000000E0,1.251455688E1,-5.390666962E0,2.815866089E1,3.128232100E1
1.510000000E0,1.026916504E1,-4.835051537E0,2.954568481E1,3.165092361E1
1.520000000E0,1.116815948E1,-4.083926201E0,2.787335205E1,3.030396004E1
1.530000000E0,1.279809570E1,-5.399637222E0,2.604891968E1,2.952106963E1
1.540000000E0,1.311334991E1,-4.497385979E0,2.649053955E1,2.989874767E1
1.550000000E0,1.266064453E1,-4.507240295E0,2.649792480E1,2.971106114E1
1.560000000E0,1.175581360E1,-4.231720924E0,2.621047974E1,2.903611309E1
1.570000000E0,1.040407562E1,-3.666386604E0,2.622961426E1,2.845487383E1
1.580000000E0,1.265387726E1,-5.986721039E0,2.755783081E1,3.090947229E1
1.590000000E0,1.267153168E1,-4.940094948E0,2.830429077E1,3.140231089E1
1.600000000E0,1.160724640E1,-4.380401611E0,2.666473389E1,2.940959232E1
1.610000000E0,1.206414032E1,-4.219601631E0,2.695727539E1,2.983359207E1
1.620000000E0,1.220346832E1,-4.815655708E0,2.635641479E1,2.944105602E1
1.630000000E0,1.327105713E1,-4.340936661E0,2.708868408E1,3.047558849E1
1.640000000E0,1.130373383E1,-5.272661209E0,2.757620239E1,3.026586019E1
1.650000000E0,1.312680817E1,-3.601707458E0,2.693704224E1,3.018094819E1
1.660000000E0,1.222707367E1,-4.058711052E0,2.815682983E1,3.096419759E1
1.670000000E0,1.205619049E1,-4.963226318E0,2.696102905E1,2.994799546E1
1.680000000E0,1.311135101E1,-5.530692101E0,2.754818726E1,3.100643000E1
1.690000000E0,1.279536438E1,-6.138822556E0,2.665405273E1,3.019677167E1
1.700000000E0,1.204649353E1,-5.266226768E0,2.621078491E1,2.932330807E1
1.710000000E0,1.339862823E1,-4.946980476E0,2.513476562E1,2.890938079E1
1.720000000E0,1.116020966E1,-4.827550888E0,2.787710571E1,3.041362442E1
1.730000000E0,1.161434174E1,-4.079621315E0,2.711422729E1,2.977780324E1
1.740000000E0,1.026418304E1,-3.365562439E0,2.713262939E1,2.920376760E1
1.750000000E0,1.236712646E1,-4.948884964E0,2.800854492E1,3.101476855E1
1.760000000E0,1.160973358E1,-5.115146637E0,2.787121582E1,3.062279070E1
1.770000000E0,1.191471100E1,-4.811125755E0,2.786480713E1,3.068476406E1
1.780000000E0,1.205619049E1,-4.963226318E0,2.696102905E1,2.994799546E1
1.790000000E0,1.234772491E1,-5.554885864E0,2.650808716E1,2.976578157E1
1.800000000E0,1.268408966E1,-3.160945892E0,2.754357910E1,3.048813637E1
1.810000000E0,1.268727112E1,-2.863496780E0,2.754208374E1,3.045870711E1
1.820000000E0,1.098944855E1,-4.995100975E0,2.577551270E1,2.846218663E1
1.830000000E0,1.009592438E1,-4.267855644E0,2.623751831E1,2.843500744E1
1.840000000E0,1.192584229E1,-3.770051003E0,2.785955811E1,3.053840167E1
1.850000000E0,1.280706787E1,-4.802515984E0,2.634658813E1,2.968548220E1
1.860000000E0,1.221912384E1,-4.802335739E0,2.816058350E1,3.107069164E1
1.870000000E0,1.237634277E1,-2.877836227E0,2.649459839E1,2.938400152E1
1.880000000E0,1.128404236E1,-6.026275635E0,2.622683716E1,2.918034608E1
1.890000000E0,1.266909027E1,-5.531666756E0,2.875833130E1,3.190841275E1
1.900000000E0,1.206993103E1,-3.919932365E0,2.725646973E1,3.006599818E1
1.910000000E0,1.310858154E1,-4.943560600E0,2.649279785E1,2.996901799E1
1.920000000E0,1.266182709E1,-5.243096352E0,2.755407715E1,3.077400026E1
1.930000000E0,1.372465515E1,-5.214550972E0,2.828857422E1,3.187163523E1
1.940000000E0,1.190166473E1,-4.822225571E0,2.636135864E1,2.932276782E1
1.950000000E0,1.220028687E1,-5.113106728E0,2.635794067E1,2.949121728E1
1.960000000E0,1.070286560E1,-4.546616554E0,2.698092651E1,2.938015401E1
1.970000000E0,1.041989899E1,-4.242416382E0,2.878848267E1,3.090872249E1
1.980000000E0,1.204257202E1,-5.269556999E0,2.575979614E1,2.891986980E1
1.990000000E0,1.099932098E1,-5.281452179E0,2.728045654E1,2.988481401E1
2.000000000E0,1.266439819E1,-3.914561272E0,2.619421387E1,2.935724121E1
2.010000000E0,1.206935883E1,-4.215161324E0,2.755865479E1,3.037954017E1
2.020000000E0,1.130055237E1,-5.570111275E0,2.757769775E1,3.031926841E1
2.030000000E0,1.190166473E1,-4.822225571E0,2.636135864E1,2.932276782E1
2.040000000E0,1.176755524E1,-4.221731186E0,2.756356812E1,3.026629574E1
2.050000000E0,1.132077026E1,-3.194951057E0,2.696432495E1,2.941840192E1
2.060000000E0,1.175524902E1,-4.526950836E0,2.651266479E1,2.935303320E1
2.070000000E0,1.175524902E1,-4.526950836E0,2.651266479E1,2.935303320E1
2.080000000E0,1.175524902E1,-4.526950836E0,2.651266479E1,2.935303320E1
2.090000000E0,1.175524902E1,-4.526950836E0,2.651266479E1,2.935303320E1
2.100000000E0,1.175524902E1,-4.526950836E0,2.651266479E1,2.935303320E1
2.110000000E0,1.205823517E1,-5.256237030E0,2.756390381E1,3.054173957E1
2.120000000E0,1.312305450E1,-4.194386482E0,2.724075317E1,3.052648147E1
2.130000000E0,1.191295624E1,-4.370501518E0,2.711080933E1,2.993352288E1
2.140000000E0,1.250526428E1,-4.809085846E0,2.635150146E1,2.956197847E1
2.150000000E0,1.236839294E1,-3.621460915E0,2.649832153E1,2.946613594E1
2.160000000E0,1.402828979E1,-3.585326195E0,2.647128296E1,3.017244272E1
2.170000000E0,1.268266296E1,-3.899021149E0,2.829904175E1,3.125520868E1
2.180000000E0,1.130169678E1,-4.979650497E0,2.697332764E1,2.966623793E1
2.190000000E0,1.176612854E1,-4.959805489E0,2.831906128E1,3.106462108E1
2.200000000E0,1.253147888E1,-4.049921989E0,2.845260620E1,3.135268140E1
2.210000000E0,1.174587250E1,-6.008651733E0,2.727191162E1,3.029565282E1
2.220000000E0,1.204506683E1,-6.004302025E0,2.696627808E1,3.013827187E1
2.230000000E0,1.192845154E1,-3.767830849E0,2.816024780E1,3.081369925E1
2.240000000E0,1.312623596E1,-3.896937370E0,2.723925781E1,3.048706869E1
2.250000000E0,1.252234650E1,-4.057691574E0,2.740017700E1,3.039808748E1
2.260000000E0,1.115845490E1,-4.386926651E0,2.712310791E1,2.965500335E1
2.270000000E0,1.281040955E1,-5.094417572E0,2.709982300E1,3.040493528E1
2.280000000E0,1.222764587E1,-3.763481140E0,2.785461426E1,3.065222095E1
2.290000000E0,1.221015167E1,-5.399456978E0,2.786288452E1,3.089631488E1
2.300000000E0,1.220880890E1,-4.074251175E0,2.605200195E1,2.905789640E1
2.310000000E0,1.220362854E1,-5.405007362E0,2.711114502E1,3.021848504E1
2.320000000E0,1.250485229E1,-5.693666458E0,2.740844727E1,3.065961758E1
2.330000000E0,1.206079865E1,-3.927701950E0,2.620404053E1,2.911256510E1
2.340000000E0,1.221260071E1,-4.807886124E0,2.740887451E1,3.038930383E1
2.350000000E0,1.251655579E1,-4.357361794E0,2.710098267E1,3.016809626E1
2.360000000E0,1.249629211E1,-5.406207085E0,2.605383301E1,2.939705098E1
2.370000000E0,1.189729309E1,-4.383821487E0,2.530670166E1,2.830534618E1
2.380000000E0,1.206532288E1,-4.955455780E0,2.801345825E1,3.090117152E1
2.390000000E0,1.189848328E1,-5.119676590E0,2.636285400E1,2.937320316E1
2.400000000E0,1.222850037E1,-3.320636749E0,2.740136719E1,3.018936524E1
2.410000000E0,1.205369568E1,-4.228481293E0,2.575451660E1,2.874833489E1
2.420000000E0,1.311771393E1,-4.935791016E0,2.754519653E1,3.090589432E1
2.430000000E0,1.189905548E1,-4.824445724E0,2.606066895E1,2.905204405E1
2.440000000E0,1.281317902E1,-5.681546211E0,2.815524292E1,3.145115622E1
2.450000000E0,1.206398010E1,-3.630251884E0,2.620254517E1,2.907390097E1
2.460000000E0,1.177265930E1,-4.954256058E0,2.907077026E1,3.175295016E1
2.470000000E0,1.222389221E1,-4.356161118E0,2.815832520E1,3.100469252E1
2.480000000E0,1.189269257E1,-5.419346809E0,2.606365967E1,2.915681415E1
2.490000000E0,1.236060333E1,-4.954435349E0,2.725680542E1,3.033585974E1
